organizations,count,first_date,last_date,lat,lon
Metro Manila,1,2010-07-22 00:25:07 -0400,2010-07-22 00:25:07 -0400,,
El Niño,1,2010-07-22 00:25:07 -0400,2010-07-22 00:25:07 -0400,,
MWSS,3,2010-07-22 00:25:07 -0400,2010-07-22 00:25:07 -0400,,
Maynilad,3,2010-07-22 00:25:07 -0400,2010-07-22 00:25:07 -0400,,
Manila Water,1,2010-07-22 00:25:07 -0400,2010-07-22 00:25:07 -0400,,
Google,1,2010-08-08 06:40:34 -0400,2010-08-08 06:40:34 -0400,,
Lycan Times,1,2010-08-08 06:40:34 -0400,2010-08-08 06:40:34 -0400,,
NDP,1,2010-08-08 06:40:34 -0400,2010-08-08 06:40:34 -0400,,
Willow Tree,1,2010-08-08 06:40:34 -0400,2010-08-08 06:40:34 -0400,,
Ministry of Environnment,1,2010-08-08 06:40:34 -0400,2010-08-08 06:40:34 -0400,,
Singapore Marina Barrage,1,2010-08-08 06:40:34 -0400,2010-08-08 06:40:34 -0400,,
Google Earth,1,2010-08-08 06:40:34 -0400,2010-08-08 06:40:34 -0400,,
MSC Chitra,1,2010-08-12 14:44:26 -0400,2010-08-12 14:44:26 -0400,,
Coast Guard,1,2010-08-12 14:44:26 -0400,2010-08-12 14:44:26 -0400,,
NDTV,1,2010-08-12 14:44:26 -0400,2010-08-12 14:44:26 -0400,,
Resource Institute,1,2010-08-12 14:44:26 -0400,2010-08-12 14:44:26 -0400,,
Times of India,1,2010-08-12 14:44:26 -0400,2010-08-12 14:44:26 -0400,,
Hospital Ayres de Menezes Pediatrics Ward,1,2010-08-20 19:57:15 -0400,2010-08-20 19:57:15 -0400,,
Ayres de Menezes Hospital,1,2010-08-20 19:57:15 -0400,2010-08-20 19:57:15 -0400,,
Faculdades de Medicina,1,2010-08-20 19:57:15 -0400,2010-08-20 19:57:15 -0400,,
Blog Revista Antiga Portuguesa,1,2010-08-20 19:57:15 -0400,2010-08-20 19:57:15 -0400,,
Facebook and Canal Santola,1,2010-08-20 19:57:15 -0400,2010-08-20 19:57:15 -0400,,
O Hospital Central Ayres de Menezes,1,2010-08-20 19:57:15 -0400,2010-08-20 19:57:15 -0400,,
Director of Hospital Ayres de Menezes,1,2010-08-20 19:57:15 -0400,2010-08-20 19:57:15 -0400,,
United Nations General Assembly,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,,
Wikipedia,2,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,,
Ghana Blogging Group,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,,
University of Ghana,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,,
Anderson Coopers,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,,
The World,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,,
Dow Live Earth Run,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,,
Siria,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,,
