cities,count,first_date,last_date,lat,lon
Port-au-Prince,29,2010-01-13 11:19:07 -0500,2010-01-20 17:01:03 -0500,18.53917,-72.335
Nantes,1,2010-01-13 16:24:56 -0500,2010-01-13 16:24:56 -0500,47.21725,-1.55336
Jimaní,1,2010-01-13 16:24:56 -0500,2010-01-13 16:24:56 -0500,18.49169,-71.85022
Caribbean Key,3,2010-01-14 07:47:15 -0500,2010-01-14 07:47:15 -0500,26.40008,-80.07226
Mahdia,1,2010-01-14 07:47:15 -0500,2010-01-14 07:47:15 -0500,35.50472,11.06222
Jacmel,8,2010-01-14 07:51:59 -0500,2010-01-20 11:09:54 -0500,18.23417,-72.53472
Pétionville,1,2010-01-14 07:37:40 -0500,2010-01-14 07:37:40 -0500,18.5125,-72.28528
Kingston,1,2010-01-14 12:12:09 -0500,2010-01-14 12:12:09 -0500,17.99702,-76.79358
Spitak,1,2010-01-14 19:22:52 -0500,2010-01-14 19:22:52 -0500,40.8322,44.2673
Washington D. C.,1,2010-01-14 19:22:52 -0500,2010-01-14 19:22:52 -0500,38.89511,-77.03637
Léogâne,3,2010-01-18 12:39:15 -0500,2010-01-19 20:31:33 -0500,18.50959,-72.63147
Haicheng,1,2010-01-20 17:01:03 -0500,2010-01-20 17:01:03 -0500,40.85158,122.74754
New Orleans,1,2010-01-22 16:58:00 -0500,2010-01-22 16:58:00 -0500,29.95465,-90.07507
Playa de las Américas,1,2010-01-23 01:27:11 -0500,2010-01-23 01:27:11 -0500,28.06403,-16.73012
Miami,1,2010-01-23 12:14:10 -0500,2010-01-23 12:14:10 -0500,25.77427,-80.19366
Guatemala City,1,2010-01-24 18:59:34 -0500,2010-01-24 18:59:34 -0500,14.64072,-90.51327
Portail Léogane,1,2010-01-28 10:45:40 -0500,2010-01-28 10:45:40 -0500,18.24194,-72.54083
Gonaïves,1,2010-01-29 09:55:05 -0500,2010-01-29 09:55:05 -0500,19.44749,-72.68903
Cap-Haïtien,1,2010-01-30 11:46:04 -0500,2010-01-30 11:46:04 -0500,19.75778,-72.20417
New Rochelle,1,2010-01-31 07:22:51 -0500,2010-01-31 07:22:51 -0500,40.91149,-73.78235
Ho Chi Minh City,1,2010-02-11 17:21:12 -0500,2010-02-11 17:21:12 -0500,10.82302,106.62965
