organizations,count,first_date,last_date,lat,lon
Cross-Strait Service Trade Agreement,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,,
Democratic Front Against Cross-Strait Trade in Services Agreement,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,,
National Taiwan University,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,,
Laiho Culture Foundation,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,,
UNESCO,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,,
Ministry of Culture,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,,
National Chiao-Tung University,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,,
ECFA,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,,
Administrative Committee,1,2014-03-19 12:56:12 -0400,2014-03-19 12:56:12 -0400,,
Democratic Front Against Cross-Strait Trade,1,2014-03-19 12:56:12 -0400,2014-03-19 12:56:12 -0400,,
Facebook,9,2014-03-20 07:54:34 -0400,2014-03-25 10:57:58 -0400,,
Democratic Front,1,2014-03-20 07:54:34 -0400,2014-03-20 07:54:34 -0400,,
Formosa,1,2014-03-22 12:32:03 -0400,2014-03-22 12:32:03 -0400,,
Cross-Strait Service,2,2014-03-23 21:45:04 -0400,2014-03-31 01:53:18 -0400,,
CEPA,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Chinese Communist Party,3,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Cross-Strait Service Trade Agreement for Taiwan,1,2014-03-25 10:57:58 -0400,2014-03-25 10:57:58 -0400,,
Taiwan Journalists Association,1,2014-03-25 10:57:58 -0400,2014-03-25 10:57:58 -0400,,
National Taiwan University Hospital,1,2014-03-25 10:57:58 -0400,2014-03-25 10:57:58 -0400,,
Indigenous Peoples Action Coalition of Taiwan,1,2014-03-31 01:53:18 -0400,2014-03-31 01:53:18 -0400,,
Council of Indigenous Peoples,2,2014-03-31 01:53:18 -0400,2014-03-31 01:53:18 -0400,,
Institute for Aboriginal Policy,1,2014-03-31 01:53:18 -0400,2014-03-31 01:53:18 -0400,,
New York Times,1,2014-04-01 10:59:31 -0400,2014-04-01 10:59:31 -0400,,
Sunflower Movement,5,2014-04-01 10:59:31 -0400,2014-04-01 10:59:31 -0400,,
The New York Times,1,2014-04-01 10:59:31 -0400,2014-04-01 10:59:31 -0400,,
Department of Motion Pictures,2,2014-04-01 10:59:31 -0400,2014-04-01 10:59:31 -0400,,
Kun Shan University,1,2014-04-01 10:59:31 -0400,2014-04-01 10:59:31 -0400,,
Taiwanese Congress,1,2014-04-16 22:06:59 -0400,2014-04-16 22:06:59 -0400,,
Free Taiwan Alliance,1,2014-04-16 22:06:59 -0400,2014-04-16 22:06:59 -0400,,
Med Front,1,2014-04-16 22:06:59 -0400,2014-04-16 22:06:59 -0400,,
