people,count,first_date,last_date,lat,lon
Mohammed Nizamul Huq,3,2012-12-09 19:02:03 -0500,2012-12-09 19:02:03 -0500,,
Ahmed Ziauddin,5,2012-12-09 19:02:03 -0500,2012-12-09 19:02:03 -0500,,
Rehman Asad,5,2012-12-09 19:02:03 -0500,2013-08-06 04:53:29 -0400,,
Aunarjo Sangeet,1,2012-12-09 19:02:03 -0500,2012-12-09 19:02:03 -0500,,
David Bergman,1,2012-12-09 19:02:03 -0500,2012-12-09 19:02:03 -0500,,
Gulam Azam,1,2012-12-09 19:02:03 -0500,2012-12-09 19:02:03 -0500,,
Firoz Ahmed,7,2012-12-09 19:02:03 -0500,2013-03-05 14:21:24 -0500,,
Ziaul Haque Nasim,1,2012-12-09 19:02:03 -0500,2012-12-09 19:02:03 -0500,,
Arif Jebtik,3,2012-12-09 19:02:03 -0500,2013-12-04 15:59:35 -0500,,
Abdul Quader Mollah,43,2013-02-06 23:23:12 -0500,2013-02-14 18:14:29 -0500,,
Pavel Mohitul Alam,2,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Shahbagh,2,2013-02-06 23:23:12 -0500,2013-03-05 14:21:24 -0500,,
Kazi Sudipto,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Imtiar Shamim,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Rayhan Rashid,2,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Razakars,2,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Al Badr,3,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Abul Kalam Azad,2,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Elora Leelith,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Hazrat Binoy Bhodroe,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Akhter,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Pallab,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Meherun Nesa,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Al-Badr,2,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Bihari,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Khondoker Abu Taleb,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Ghatar Char,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Hazrat Ali Laskar,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Omi Rahman Pial,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,,
Shourov Hassan,1,2013-02-08 03:36:13 -0500,2013-02-08 03:36:13 -0500,,
Mahmudul Amin,1,2013-02-08 03:36:13 -0500,2013-02-08 03:36:13 -0500,,
Fahim Mahmud,1,2013-02-08 03:36:13 -0500,2013-02-08 03:36:13 -0500,,
Aninda Kabir Avik,1,2013-02-08 03:36:13 -0500,2013-02-08 03:36:13 -0500,,
Sharat Chowdhury,2,2013-02-08 03:36:13 -0500,2013-02-08 03:36:13 -0500,,
Abdul Aleem Khan,1,2013-02-08 03:36:13 -0500,2013-02-08 03:36:13 -0500,,
Jamil Cowdhury,1,2013-02-08 03:36:13 -0500,2013-02-08 03:36:13 -0500,,
Arif Hossain Sayeed,2,2013-02-10 16:30:38 -0500,2013-02-10 16:30:38 -0500,,
Mahabub Bhuiyan,1,2013-02-11 08:30:51 -0500,2013-02-11 08:30:51 -0500,,
Abu Hasan Shahriar,1,2013-02-11 08:30:51 -0500,2013-02-11 08:30:51 -0500,,
Kader Mollah,1,2013-02-11 08:30:51 -0500,2013-02-11 08:30:51 -0500,,
Mehedi Hasan Khan,4,2013-02-11 08:30:51 -0500,2013-03-16 10:59:19 -0400,,
Kamrul Hasan,1,2013-02-11 08:30:51 -0500,2013-02-11 08:30:51 -0500,,
Shahbag,13,2013-02-11 08:30:51 -0500,2013-02-14 18:14:29 -0500,,
Sujan Chowdhury,1,2013-02-11 08:30:51 -0500,2013-02-11 08:30:51 -0500,,
Monika Rashid,1,2013-02-11 08:30:51 -0500,2013-02-11 08:30:51 -0500,,
Lina Fardows,1,2013-02-11 08:30:51 -0500,2013-02-11 08:30:51 -0500,,
Nazmus Nupur,1,2013-02-11 08:30:51 -0500,2013-02-11 08:30:51 -0500,,
Zeenat Zoardar Ripa,1,2013-02-11 08:30:51 -0500,2013-02-11 08:30:51 -0500,,
Jamaat-Shibir,7,2013-02-11 08:30:51 -0500,2013-03-16 10:59:19 -0400,,
Ekramul Haque Emon,1,2013-02-11 08:30:51 -0500,2013-02-11 08:30:51 -0500,,
Zakir Hossain Chowdhury,5,2013-02-14 18:14:29 -0500,2013-02-14 18:14:29 -0500,,
Moom Rahaman,1,2013-02-14 18:14:29 -0500,2013-02-14 18:14:29 -0500,,
Tausif Hamim,2,2013-02-14 18:14:29 -0500,2013-02-14 18:14:29 -0500,,
Vaskar Abedin,1,2013-02-14 18:14:29 -0500,2013-02-14 18:14:29 -0500,,
Saka Chowdhury,1,2013-02-14 18:14:29 -0500,2013-02-14 18:14:29 -0500,,
Razakar,2,2013-02-14 18:14:29 -0500,2013-02-14 18:14:29 -0500,,
Golam Azam,1,2013-02-14 18:14:29 -0500,2013-02-14 18:14:29 -0500,,
