people,count,first_date,last_date,lat,lon
David Sasaki,4,2009-12-22 03:03:19 -0500,2009-12-22 03:03:19 -0500,,
Ethan Zuckerman,4,2009-12-22 03:03:19 -0500,2009-12-22 03:03:19 -0500,,
Jeff Ooi,1,2009-12-22 03:03:19 -0500,2009-12-22 03:03:19 -0500,,
Jace,1,2009-12-22 03:03:19 -0500,2009-12-22 03:03:19 -0500,,
Hossein Derakhshan,1,2009-12-22 03:03:19 -0500,2009-12-22 03:03:19 -0500,,
Hoder,1,2009-12-22 03:03:19 -0500,2009-12-22 03:03:19 -0500,,
Ahmedinejad,1,2009-12-22 03:03:19 -0500,2009-12-22 03:03:19 -0500,,
Evgeny Morozov,1,2009-12-22 03:03:19 -0500,2009-12-22 03:03:19 -0500,,
Clay Shirky,1,2009-12-22 03:03:19 -0500,2009-12-22 03:03:19 -0500,,
Patrick Meier,1,2009-12-22 03:03:19 -0500,2009-12-22 03:03:19 -0500,,
Ory Okolloh,4,2009-12-22 03:03:19 -0500,2009-12-22 03:03:19 -0500,,
