places,count,first_date,last_date,lat,lon
Bangladesh,126,2012-12-09 19:02:03 -0500,2013-12-04 15:59:35 -0500,24.0,90.0
Kingdom of Belgium,1,2012-12-09 19:02:03 -0500,2012-12-09 19:02:03 -0500,50.75,4.5
Islamic Republic of Pakistan,15,2012-12-09 19:02:03 -0500,2013-08-06 04:53:29 -0400,30.0,70.0
United States,1,2012-12-09 19:02:03 -0500,2012-12-09 19:02:03 -0500,39.76,-98.5
United Kingdom of Great Britain and Northern Ireland,4,2012-12-09 19:02:03 -0500,2013-08-06 04:53:29 -0400,54.75844,-2.69531
Brussels,1,2012-12-09 19:02:03 -0500,2012-12-09 19:02:03 -0500,50.85045,4.34878
Dhaka,38,2012-12-09 19:02:03 -0500,2013-12-04 15:59:35 -0500,23.7104,90.40744
Chittagong,6,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,22.3384,91.83168
Sylhet,4,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,24.89904,91.87198
Khulna,2,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,22.80978,89.56439
Comilla,2,2013-02-06 23:23:12 -0500,2013-12-04 15:59:35 -0500,23.46186,91.18504
Mymensingh,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,24.75636,90.40646
Rangpur,2,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,25.74664,89.25166
Rājshāhi,2,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,24.374,88.60114
Mīrpur Māthelo,6,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,28.02271,69.54886
Daulat Khānbāri,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,24.43608,90.55246
Kerāniganj,1,2013-02-06 23:23:12 -0500,2013-02-06 23:23:12 -0500,24.75002,88.07271
Shahbag,24,2013-02-10 16:30:38 -0500,2013-12-04 15:59:35 -0500,23.738,90.4
Republic of India,6,2013-02-14 18:14:29 -0500,2013-02-27 16:28:55 -0500,22.0,79.0
State of West Bengal,3,2013-02-14 18:14:29 -0500,2013-03-05 14:21:24 -0500,24.0,88.0
Chāndpur,1,2013-03-01 16:05:15 -0500,2013-03-01 16:05:15 -0500,29.13506,78.26887
Noākhāli,2,2013-03-05 14:21:24 -0500,2013-03-05 14:21:24 -0500,22.81764,91.08945
Sāntinagar,1,2013-03-05 14:21:24 -0500,2013-03-05 14:21:24 -0500,23.98093,91.61657
Banshkhali,3,2013-03-16 10:59:19 -0400,2013-03-16 10:59:19 -0400,22.03,91.93
Rāmu,1,2013-03-16 10:59:19 -0400,2013-03-16 10:59:19 -0400,21.42899,92.10621
Natore S.,1,2013-04-01 05:31:21 -0400,2013-04-01 05:31:21 -0400,24.45,88.98
Islamic Republic of Afghanistan,1,2013-05-04 18:06:32 -0400,2013-05-04 18:06:32 -0400,33.0,66.0
Bijoynagar,1,2013-05-04 18:06:32 -0400,2013-05-04 18:06:32 -0400,23.65695,90.77323
Savar,1,2013-05-04 18:06:32 -0400,2013-05-04 18:06:32 -0400,24.33724,89.99715
Palţān,1,2013-05-04 18:06:32 -0400,2013-05-04 18:06:32 -0400,36.74677,50.815
Sharmin,1,2013-05-04 18:06:32 -0400,2013-05-04 18:06:32 -0400,36.80204,43.72718
Sītākund,1,2013-12-04 15:59:35 -0500,2013-12-04 15:59:35 -0500,22.62164,91.65938
Purba Chāndpur,1,2013-12-04 15:59:35 -0500,2013-12-04 15:59:35 -0500,24.75,88.28333
Dhanmondi,1,2013-12-04 15:59:35 -0500,2013-12-04 15:59:35 -0500,23.74,90.385
Democratic People’s Republic of Korea,1,2013-12-14 05:04:08 -0500,2013-12-14 05:04:08 -0500,40.0,127.0
