places,count,first_date,last_date,lat,lon
Federative Republic of Brazil,48,2011-09-06 17:26:37 -0400,2013-10-16 16:06:19 -0400,-10.0,-55.0
Rio de Janeiro,34,2011-09-06 17:26:37 -0400,2013-02-27 06:45:54 -0500,-22.92008,-43.33069
South America,1,2012-06-12 14:37:29 -0400,2012-06-12 14:37:29 -0400,-14.60485,-57.65625
Republic of Panama,31,2012-06-12 14:37:29 -0400,2012-06-12 14:37:29 -0400,9.0,-80.0
Mexico,14,2012-06-12 14:37:29 -0400,2012-06-12 14:37:29 -0400,23.0,-102.0
United States,14,2012-06-12 14:37:29 -0400,2013-02-27 06:45:54 -0500,39.76,-98.5
Republic of Costa Rica,7,2012-06-12 14:37:29 -0400,2012-06-12 14:37:29 -0400,10.0,-84.0
Republic of Honduras,22,2012-06-12 14:37:29 -0400,2012-06-12 14:37:29 -0400,15.0,-86.5
Republic of Nicaragua,1,2012-06-12 14:37:29 -0400,2012-06-12 14:37:29 -0400,13.0,-85.0
Canada,2,2012-06-12 14:37:29 -0400,2012-06-12 14:37:29 -0400,60.10867,-113.64258
Republic of Cuba,8,2012-06-12 14:37:29 -0400,2012-06-12 14:37:29 -0400,22.0,-79.5
Jamaica,3,2012-10-18 21:50:28 -0400,2012-10-18 21:50:28 -0400,18.16667,-77.25
Co-operative Republic of Guyana,1,2012-10-18 21:50:28 -0400,2012-10-18 21:50:28 -0400,5.0,-59.0
San Pedro Sula,2,2012-10-18 21:50:28 -0400,2012-10-18 21:50:28 -0400,15.50417,-88.025
San Jose,1,2012-10-18 21:50:28 -0400,2012-10-18 21:50:28 -0400,37.33939,-121.89496
Maracanã,3,2013-01-16 06:40:37 -0500,2013-01-16 06:40:37 -0500,-0.75819,-47.48755
São Paulo,14,2013-01-16 06:40:37 -0500,2013-01-16 06:40:37 -0500,-23.62703,-46.63503
Botafogo,2,2013-01-16 06:40:37 -0500,2013-01-16 06:40:37 -0500,-21.38333,-43.28333
Washington,1,2013-01-16 06:40:37 -0500,2013-01-16 06:40:37 -0500,47.50012,-120.50147
Providence Hill,1,2013-02-27 06:45:54 -0500,2013-02-27 06:45:54 -0500,42.57926,-71.42006
Ipanema,1,2013-03-01 06:03:12 -0500,2013-03-01 06:03:12 -0500,-19.75724,-41.76801
Copacabana,1,2013-03-01 06:03:12 -0500,2013-03-01 06:03:12 -0500,-16.15,-69.08333
Europe,2,2013-03-10 18:17:28 -0400,2013-11-21 17:13:10 -0500,48.69096,9.14062
Jacarepaguá,1,2013-03-25 09:45:52 -0400,2013-03-25 09:45:52 -0400,-22.95971,-43.36908
Republic of El Salvador,3,2013-04-22 13:19:21 -0400,2013-04-22 13:19:21 -0400,13.83333,-88.91667
Brasília,2,2013-04-22 13:19:21 -0400,2013-04-22 13:19:21 -0400,-15.77972,-47.92972
Estado da Bahia,4,2013-04-22 13:19:21 -0400,2013-04-22 13:19:21 -0400,-12.0,-42.0
Fonte Nova,1,2013-04-22 13:19:21 -0400,2013-04-22 13:19:21 -0400,-14.4,-43.68333
Mineirão stadium,1,2013-04-22 13:19:21 -0400,2013-04-22 13:19:21 -0400,-19.86583,-43.97083
Rio,2,2013-05-28 05:00:06 -0400,2013-05-28 05:00:06 -0400,43.44776,-89.23984
Cárcel Pública,1,2013-05-28 05:00:06 -0400,2013-05-28 05:00:06 -0400,20.66164,-87.14165
Estado do Ceará,2,2013-06-04 09:50:48 -0400,2013-06-04 09:50:48 -0400,-5.0,-40.0
Castelão,1,2013-06-04 09:50:48 -0400,2013-06-04 09:50:48 -0400,37.69004,-8.4149
Japan,6,2013-06-05 14:21:57 -0400,2013-06-05 14:21:57 -0400,35.68536,139.75309
Tokyo,1,2013-06-05 14:21:57 -0400,2013-06-05 14:21:57 -0400,35.6895,139.69171
Shibuya-ku,3,2013-06-05 14:21:57 -0400,2013-06-05 14:21:57 -0400,35.66404,139.69821
Islamic Republic of Iran,2,2013-06-22 05:48:00 -0400,2013-06-22 05:48:00 -0400,32.0,53.0
Republic of Korea,1,2013-06-22 05:48:00 -0400,2013-06-22 05:48:00 -0400,36.5,127.75
Isfahan,1,2013-06-22 05:48:00 -0400,2013-06-22 05:48:00 -0400,32.65246,51.67462
Tehrān,1,2013-06-22 05:48:00 -0400,2013-06-22 05:48:00 -0400,35.69439,51.42151
Tabrīz,1,2013-06-22 05:48:00 -0400,2013-06-22 05:48:00 -0400,38.08,46.2919
Laheh Park (پارك لاله),1,2013-06-22 05:48:00 -0400,2013-06-22 05:48:00 -0400,35.7095,51.39289
People’s Democratic Republic of Algeria,4,2013-11-21 17:13:10 -0500,2013-11-21 17:13:10 -0500,28.0,3.0
Republic of Cameroon,7,2013-11-21 17:13:10 -0500,2013-11-21 17:13:10 -0500,6.0,12.5
Republic of France,4,2013-11-21 17:13:10 -0500,2013-11-21 17:13:10 -0500,46.0,2.0
Republic of Senegal,3,2013-11-21 17:13:10 -0500,2013-11-21 17:13:10 -0500,14.5,-14.25
Ukraine,4,2013-11-21 17:13:10 -0500,2013-11-21 17:13:10 -0500,49.0,32.0
Tunisian Republic,6,2013-11-21 17:13:10 -0500,2013-11-21 17:13:10 -0500,34.0,9.0
Algiers,1,2013-11-21 17:13:10 -0500,2013-11-21 17:13:10 -0500,36.7525,3.04197
Dakar,1,2013-11-21 17:13:10 -0500,2013-11-21 17:13:10 -0500,14.6937,-17.44406
Mahdia,1,2013-11-21 17:13:10 -0500,2013-11-21 17:13:10 -0500,35.50472,11.06222
Kingdom of Sweden,1,2013-09-27 05:32:58 -0400,2013-09-27 05:32:58 -0400,62.0,15.0
United Kingdom of Great Britain and Northern Ireland,1,2013-09-27 05:32:58 -0400,2013-09-27 05:32:58 -0400,54.75844,-2.69531
Argentine Republic,1,2013-09-27 05:32:58 -0400,2013-09-27 05:32:58 -0400,-34.0,-64.0
Republic of South Africa,1,2013-09-27 05:32:58 -0400,2013-09-27 05:32:58 -0400,-29.0,24.0
Riocentro,1,2013-09-27 05:32:58 -0400,2013-09-27 05:32:58 -0400,-22.97529,-43.4098
Cinelândia,1,2013-10-04 07:13:11 -0400,2013-10-04 07:13:11 -0400,-22.91233,-43.17582
Barra da Tijuca,1,2013-10-04 07:13:11 -0400,2013-10-04 07:13:11 -0400,-22.99835,-43.36545
New Zealand,1,2013-10-11 10:38:45 -0400,2013-10-11 10:38:45 -0400,-42.0,174.0
North,1,2013-10-11 10:38:45 -0400,2013-10-11 10:38:45 -0400,22.49471,114.13812
Central America,1,2013-10-11 10:38:45 -0400,2013-10-11 10:38:45 -0400,25.32417,-99.66797
Bosnia and Herzegovina,13,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,44.25,17.83333
Republic of Lithuania,1,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,55.41667,24.0
Montenegro,3,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,42.75,19.25
Republic of Croatia,1,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,45.16667,15.5
Serbia,2,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,44.81892,20.45998
Republic of Macedonia,1,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,41.66667,21.75
Federal Republic of Germany,1,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,51.5,10.5
Kingdom of the Netherlands,1,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,52.25,5.75
Kingdom of Spain,1,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,40.0,-4.0
Sarajevo,3,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,43.84864,18.35644
Podgorica,1,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,42.44111,19.26361
England,1,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,54.48333,8.88333
Eu,1,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,50.04606,1.42079
Scotland,1,2013-10-16 16:06:19 -0400,2013-10-16 16:06:19 -0400,56.0,-4.0
Republic of Trinidad and Tobago,1,2014-05-23 01:12:04 -0400,2014-05-23 01:12:04 -0400,11.0,-61.0
