cities,count,first_date,last_date,lat,lon
Hong Kong,6,2013-07-04 11:10:39 -0400,2013-06-26 12:53:14 -0400,22.28552,114.15769
Moscow,6,2013-07-04 11:10:39 -0400,2013-06-26 13:13:34 -0400,55.75222,37.61556
Havana,1,2013-07-04 11:10:39 -0400,2013-07-04 11:10:39 -0400,23.13302,-82.38304
Vienna,1,2013-07-04 10:37:08 -0400,2013-07-04 10:37:08 -0400,48.20849,16.37208
Cochabamba,1,2013-07-15 12:14:18 -0400,2013-07-15 12:14:18 -0400,-17.3895,-66.1568
Caracas,1,2013-07-17 17:05:28 -0400,2013-07-17 17:05:28 -0400,10.48801,-66.87919
Bogotá,1,2013-07-17 17:05:28 -0400,2013-07-17 17:05:28 -0400,4.60971,-74.08175
Saint Petersburg,1,2013-08-06 18:38:26 -0400,2013-08-06 18:38:26 -0400,59.93863,30.31413
Beijing,2,2013-06-11 18:44:09 -0400,2013-06-19 08:10:14 -0400,39.9075,116.39723
Caribbean Key,1,2013-06-17 23:23:01 -0400,2013-06-17 23:23:01 -0400,26.40008,-80.07226
Eu,1,2013-06-23 11:03:51 -0400,2013-06-23 11:03:51 -0400,50.04606,1.42079
