organizations,count,first_date,last_date,lat,lon
Express Tribune,1,2010-08-03 00:44:07 -0400,2010-08-03 00:44:07 -0400,,
Air Blue,1,2010-08-03 00:44:07 -0400,2010-08-03 00:44:07 -0400,,
LUBP,1,2010-08-03 00:44:07 -0400,2010-08-03 00:44:07 -0400,,
United Nations,1,2010-08-05 15:46:01 -0400,2010-08-05 15:46:01 -0400,,
New York Times,1,2010-08-05 15:46:01 -0400,2010-08-05 15:46:01 -0400,,
MQM,2,2010-08-05 15:46:01 -0400,2010-08-05 15:46:01 -0400,,
ANP,1,2010-08-05 15:46:01 -0400,2010-08-05 15:46:01 -0400,,
Lahore Grammar School,1,2010-08-17 06:07:24 -0400,2010-08-17 06:07:24 -0400,,
LGS Kabana,1,2010-08-17 06:07:24 -0400,2010-08-17 06:07:24 -0400,,
Google,1,2010-08-17 15:18:39 -0400,2010-08-17 15:18:39 -0400,,
Pak Tea House,3,2010-08-18 16:40:29 -0400,2010-08-18 16:40:29 -0400,,
OffroadPakistan,1,2010-08-19 16:59:38 -0400,2010-08-19 16:59:38 -0400,,
MotorSports Club,1,2010-08-19 16:59:38 -0400,2010-08-19 16:59:38 -0400,,
US Department Of State Pakistan Flood,1,2010-08-24 14:49:59 -0400,2010-08-24 14:49:59 -0400,,
National Disaster Management Authority,1,2010-08-24 14:49:59 -0400,2010-08-24 14:49:59 -0400,,
NDMA,1,2010-08-24 14:49:59 -0400,2010-08-24 14:49:59 -0400,,
Motorsports Club,2,2010-08-24 14:49:59 -0400,2010-08-24 14:49:59 -0400,,
Sana Saleem,1,2010-08-24 14:49:59 -0400,2010-08-24 14:49:59 -0400,,
Pakistan Children and Youth Foundation,1,2010-08-27 14:05:13 -0400,2010-08-27 14:05:13 -0400,,
Nishtar Medical Hospital,1,2010-08-27 14:05:13 -0400,2010-08-27 14:05:13 -0400,,
Medical Relief Camps,1,2010-08-27 14:05:13 -0400,2010-08-27 14:05:13 -0400,,
