places,count,first_date,last_date,lat,lon
Hong Kong,31,2013-07-04 11:10:39 -0400,2013-06-26 12:53:14 -0400,22.28552,114.15769
Russian Federation,35,2013-07-04 11:10:39 -0400,2013-06-26 13:13:34 -0400,60.0,100.0
Republic of Ecuador,12,2013-07-04 11:10:39 -0400,2013-06-26 13:13:34 -0400,-1.25,-78.25
United States,128,2013-07-04 11:10:39 -0400,2013-06-26 13:13:34 -0400,39.76,-98.5
People’s Republic of China,21,2013-07-04 11:10:39 -0400,2013-06-19 08:10:14 -0400,35.0,105.0
Republic of Cuba,13,2013-07-04 11:10:39 -0400,2013-06-26 13:13:34 -0400,22.0,-79.5
Moscow,9,2013-07-04 11:10:39 -0400,2013-06-26 13:13:34 -0400,55.75222,37.61556
Havana,1,2013-07-04 11:10:39 -0400,2013-07-04 11:10:39 -0400,23.13302,-82.38304
Sheremetyevo International Airport,3,2013-07-04 11:10:39 -0400,2013-07-04 11:10:39 -0400,55.97194,37.41389
Plurinational State of Bolivia,16,2013-07-04 10:37:08 -0400,2013-07-09 13:49:57 -0400,-17.0,-65.0
Republic of Austria,2,2013-07-04 10:37:08 -0400,2013-07-04 10:37:08 -0400,47.33333,13.33333
Kingdom of Spain,4,2013-07-04 10:37:08 -0400,2013-07-04 10:37:08 -0400,40.0,-4.0
Republic of France,2,2013-07-04 10:37:08 -0400,2013-07-04 10:37:08 -0400,46.0,2.0
Portuguese Republic,2,2013-07-04 10:37:08 -0400,2013-07-04 10:37:08 -0400,39.6945,-8.13057
Repubblica Italiana,3,2013-07-04 10:37:08 -0400,2013-07-04 10:37:08 -0400,42.83333,12.83333
Oriental Republic of Uruguay,1,2013-07-04 10:37:08 -0400,2013-07-04 10:37:08 -0400,-33.0,-56.0
Republic of Peru,2,2013-07-04 10:37:08 -0400,2013-07-04 10:37:08 -0400,-10.0,-75.25
Bolivarian Republic of Venezuela,25,2013-07-04 10:37:08 -0400,2013-06-26 13:13:34 -0400,8.0,-66.0
Vienna,2,2013-07-04 10:37:08 -0400,2013-07-04 10:37:08 -0400,48.20849,16.37208
Canarias,1,2013-07-04 10:37:08 -0400,2013-07-04 10:37:08 -0400,28.0,-15.5
Atlantic,2,2013-07-04 10:37:08 -0400,2013-07-04 10:37:08 -0400,41.4036,-95.01388
Europe,6,2013-07-09 13:49:57 -0400,2013-07-09 13:49:57 -0400,48.69096,9.14062
United Kingdom of Great Britain and Northern Ireland,2,2013-07-09 13:49:57 -0400,2013-07-09 13:49:57 -0400,54.75844,-2.69531
Republic of Nicaragua,4,2013-07-09 13:49:57 -0400,2013-07-09 13:49:57 -0400,13.0,-85.0
Federative Republic of Brazil,9,2013-07-15 09:22:41 -0400,2013-07-17 17:05:28 -0400,-10.0,-55.0
Republic of Colombia,4,2013-07-15 09:22:41 -0400,2013-07-17 17:05:28 -0400,4.0,-73.25
Republic of Paraguay,1,2013-07-15 12:14:18 -0400,2013-07-15 12:14:18 -0400,-23.33333,-58.0
Republic of Chile,1,2013-07-15 12:14:18 -0400,2013-07-15 12:14:18 -0400,-30.0,-71.0
Argentine Republic,1,2013-07-15 12:14:18 -0400,2013-07-15 12:14:18 -0400,-34.0,-64.0
Cochabamba,1,2013-07-15 12:14:18 -0400,2013-07-15 12:14:18 -0400,-17.3895,-66.1568
New York,1,2013-07-15 12:14:18 -0400,2013-07-15 12:14:18 -0400,43.00035,-75.4999
South American Copacabana Hotel,1,2013-07-15 12:14:18 -0400,2013-07-15 12:14:18 -0400,-22.98346,-43.19304
Puerto Rico,8,2013-07-17 17:05:28 -0400,2013-07-17 17:05:28 -0400,18.24829,-66.49989
Toa Baja,1,2013-07-17 17:05:28 -0400,2013-07-17 17:05:28 -0400,18.44384,-66.25961
San Juan,1,2013-07-17 17:05:28 -0400,2013-07-17 17:05:28 -0400,-31.5375,-68.53639
Bogotá,2,2013-07-17 17:05:28 -0400,2013-07-17 17:05:28 -0400,4.60971,-74.08175
Caracas,2,2013-07-17 17:05:28 -0400,2013-07-17 17:05:28 -0400,10.48801,-66.87919
Panama City,1,2013-07-17 17:05:28 -0400,2013-07-17 17:05:28 -0400,30.15946,-85.65983
Mexico City,1,2013-07-17 17:05:28 -0400,2013-07-17 17:05:28 -0400,19.42847,-99.12766
Saint Petersburg,2,2013-08-06 18:38:26 -0400,2013-08-06 18:38:26 -0400,59.93863,30.31413
Hong Kong Special Administrative Region,1,2013-06-11 18:44:09 -0400,2013-06-11 18:44:09 -0400,22.25,114.16667
Republic of Iceland,1,2013-06-11 18:44:09 -0400,2013-06-11 18:44:09 -0400,65.0,-18.0
Beijing,9,2013-06-11 18:44:09 -0400,2013-06-19 08:10:14 -0400,39.9075,116.39723
Republic of Trinidad and Tobago,1,2013-06-17 23:23:01 -0400,2013-06-17 23:23:01 -0400,11.0,-61.0
Caribbean Key,2,2013-06-17 23:23:01 -0400,2013-06-17 23:23:01 -0400,26.40008,-80.07226
Canada,1,2013-06-19 08:10:14 -0400,2013-06-19 08:10:14 -0400,60.10867,-113.64258
Washington,2,2013-06-19 08:10:14 -0400,2013-06-26 13:13:34 -0400,47.50012,-120.50147
Kingdom of the Netherlands,1,2013-06-23 11:03:51 -0400,2013-06-23 11:03:51 -0400,52.25,5.75
Dublin,1,2013-06-23 11:03:51 -0400,2013-06-23 11:03:51 -0400,53.33306,-6.24889
North American Trailer Park,1,2013-06-23 11:03:51 -0400,2013-06-23 11:03:51 -0400,41.33888,-93.55855
Eu,4,2013-06-23 11:03:51 -0400,2013-06-23 11:03:51 -0400,50.04606,1.42079
