places,count,first_date,last_date,lat,lon
Islamic Republic of Pakistan,84,2013-04-14 08:01:20 -0400,2013-04-17 17:04:03 -0400,30.0,70.0
Peshawar,3,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,34.008,71.57849
South Wazīristān Agency,1,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,32.30397,69.68207
Khuzdār District,1,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,27.4868,66.58703
Balochistān,3,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,28.47849,65.64355
Karachi,9,2013-05-02 16:28:01 -0400,2013-05-02 16:28:01 -0400,24.9056,67.0822
Commonwealth of Australia,1,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,-25.0,135.0
United Kingdom of Great Britain and Northern Ireland,1,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,54.75844,-2.69531
Lahore,3,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,31.54972,74.34361
Punjab,1,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,30.86017,72.31976
West Indies,1,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,20.0,-70.0
Quetta,1,2013-05-09 12:32:48 -0400,2013-05-09 12:32:48 -0400,30.199,67.00971
Urdū,1,2013-05-09 12:32:48 -0400,2013-05-09 12:32:48 -0400,34.18854,68.61815
Bangladesh,1,2013-05-12 16:21:50 -0400,2013-05-12 16:21:50 -0400,24.0,90.0
Republic of India,1,2013-05-12 16:21:50 -0400,2013-05-12 16:21:50 -0400,22.0,79.0
Rawalpindi,3,2013-05-12 16:21:50 -0400,2013-05-12 16:21:50 -0400,33.6007,73.0679
