cities,count,first_date,last_date,lat,lon
Monrovia,1,2010-02-03 10:28:14 -0500,2010-02-03 10:28:14 -0500,6.30054,-10.7969
Namangan,1,2010-04-03 15:02:00 -0400,2010-04-03 15:02:00 -0400,40.9983,71.67257
Beijing,1,2010-09-06 03:57:16 -0400,2010-09-06 03:57:16 -0400,39.9075,116.39723
Xincai,1,2010-09-06 03:57:16 -0400,2010-09-06 03:57:16 -0400,19.76061,110.35794
Windhoek,1,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,-22.55941,17.08323
Johannesburg,1,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,-26.20227,28.04363
