places,count,first_date,last_date,lat,lon
Ormoc,2,2013-11-10 13:42:42 -0500,2013-11-10 13:42:42 -0500,11.00639,124.6075
Leyte,42,2013-11-10 13:42:42 -0500,2013-11-13 18:55:13 -0500,11.3697,124.4873
Tacloban City,45,2013-11-10 13:42:42 -0500,2013-11-20 17:02:31 -0500,11.25,125.0
Panay,3,2013-11-10 13:42:42 -0500,2013-11-20 17:02:31 -0500,6.49778,124.63833
Guiuan,8,2013-11-10 13:42:42 -0500,2013-11-12 13:28:18 -0500,11.03333,125.72472
Tanauan,1,2013-11-10 13:42:42 -0500,2013-11-10 13:42:42 -0500,14.08627,121.14975
Dulag,1,2013-11-10 13:42:42 -0500,2013-11-10 13:42:42 -0500,10.9525,125.03167
Province of Samar,10,2013-11-10 13:42:42 -0500,2013-11-13 18:55:13 -0500,11.83333,125.0
Province of Cebu,1,2013-11-10 13:42:42 -0500,2013-11-10 13:42:42 -0500,9.33333,123.66667
Province of Palawan,1,2013-11-10 13:42:42 -0500,2013-11-10 13:42:42 -0500,10.0,118.75
Negros,1,2013-11-10 13:42:42 -0500,2013-11-10 13:42:42 -0500,10.0,123.0
Republic of the Philippines,60,2013-11-11 12:33:33 -0500,2013-11-20 17:02:31 -0500,13.0,122.0
Republic of Poland,4,2013-11-11 12:33:33 -0500,2013-11-20 17:02:31 -0500,52.0,20.0
Roxas City,2,2013-11-11 12:33:33 -0500,2013-11-11 12:33:33 -0500,11.58528,122.75111
Roxas Boulevard,1,2013-11-11 12:33:33 -0500,2013-11-11 12:33:33 -0500,14.51755,120.99332
Balangiga,1,2013-11-12 13:28:18 -0500,2013-11-12 13:28:18 -0500,11.10972,125.3875
Calbayog City,1,2013-11-12 13:28:18 -0500,2013-11-12 13:28:18 -0500,12.0668,124.5962
Basey,1,2013-11-12 13:28:18 -0500,2013-11-12 13:28:18 -0500,11.28167,125.06833
Ivisan,1,2013-11-13 18:55:13 -0500,2013-11-13 18:55:13 -0500,11.52167,122.69083
Hernani,2,2013-11-13 18:55:13 -0500,2013-11-13 18:55:13 -0500,43.26615,-1.97615
Province of Capiz,1,2013-11-13 18:55:13 -0500,2013-11-13 18:55:13 -0500,11.4,122.56667
United States,5,2013-11-14 22:26:41 -0500,2013-11-23 12:05:26 -0500,39.76,-98.5
Iloilo,1,2013-11-14 22:26:41 -0500,2013-11-14 22:26:41 -0500,10.69694,122.56444
Eastern Visayas,2,2013-11-14 22:26:41 -0500,2014-05-11 13:02:17 -0400,11.41667,124.98333
Province of Aklan,1,2013-11-14 22:26:41 -0500,2013-11-14 22:26:41 -0500,11.66667,122.33333
Manila,7,2013-11-15 11:08:00 -0500,2013-11-17 04:22:07 -0500,14.6042,120.9822
Western Visayas,1,2013-11-15 11:08:00 -0500,2013-11-15 11:08:00 -0500,11.13,122.53
Taman South East Asia,1,2013-11-15 11:08:00 -0500,2013-11-15 11:08:00 -0500,2.697,101.9543
Ormoc City,1,2013-11-17 04:22:07 -0500,2013-11-17 04:22:07 -0500,11.0,124.61667
Korina,1,2013-11-17 04:22:07 -0500,2013-11-17 04:22:07 -0500,33.04889,69.73417
Plurinational State of Bolivia,1,2013-11-20 17:02:31 -0500,2013-11-20 17:02:31 -0500,-17.0,-65.0
New Zealand,1,2013-11-20 17:02:31 -0500,2013-11-20 17:02:31 -0500,-42.0,174.0
Republic of Peru,1,2013-11-20 17:02:31 -0500,2013-11-20 17:02:31 -0500,-10.0,-75.25
Warsaw,2,2013-11-20 17:02:31 -0500,2013-11-20 17:02:31 -0500,52.22977,21.01178
Lima,1,2013-11-20 17:02:31 -0500,2013-11-20 17:02:31 -0500,-12.04318,-77.02824
Davao,1,2013-12-06 10:36:17 -0500,2013-12-06 10:36:17 -0500,7.07306,125.61278
Marabut,1,2013-12-06 10:36:17 -0500,2013-12-06 10:36:17 -0500,11.45,125.23333
Anibong,1,2013-12-06 10:36:17 -0500,2013-12-06 10:36:17 -0500,14.78807,121.92478
Province of Eastern Samar,1,2013-12-06 10:36:17 -0500,2013-12-06 10:36:17 -0500,11.66667,125.5
Asia,1,2013-12-22 21:17:00 -0500,2013-12-22 21:17:00 -0500,29.84064,89.29688
Los Angeles,1,2013-12-22 21:17:00 -0500,2013-12-22 21:17:00 -0500,34.05223,-118.24368
California,1,2013-12-22 21:17:00 -0500,2013-12-22 21:17:00 -0500,38.3004,-76.50745
New York,1,2013-12-22 21:17:00 -0500,2013-12-22 21:17:00 -0500,43.00035,-75.4999
Toronto,1,2013-12-22 21:17:00 -0500,2013-12-22 21:17:00 -0500,43.70011,-79.4163
Miami,1,2013-12-22 21:17:00 -0500,2013-12-22 21:17:00 -0500,25.77427,-80.19366
Tokyo,2,2013-12-22 21:17:00 -0500,2013-12-22 21:17:00 -0500,35.6895,139.69171
Palo,5,2014-01-21 01:52:48 -0500,2014-01-21 01:52:48 -0500,11.1575,124.99083
San Joaquin,1,2014-01-21 01:52:48 -0500,2014-01-21 01:52:48 -0500,10.588,122.1397
San Isidro,1,2014-01-21 01:52:48 -0500,2014-01-21 01:52:48 -0500,-12.11667,-77.05
Bliss,1,2014-01-21 01:52:48 -0500,2014-01-21 01:52:48 -0500,42.57701,-78.25279
Bargaī,1,2014-01-21 01:52:48 -0500,2014-01-21 01:52:48 -0500,31.9538,66.25979
