organizations,count,first_date,last_date,lat,lon
Coke,14,2010-05-24 14:17:57 -0400,2010-06-23 13:09:53 -0400,,
Jamaica Labour Party,1,2010-05-24 14:17:57 -0400,2010-05-24 14:17:57 -0400,,
CVM,1,2010-05-24 14:17:57 -0400,2010-05-24 14:17:57 -0400,,
Parliament,1,2010-05-24 14:17:57 -0400,2010-05-24 14:17:57 -0400,,
Tivoli,11,2010-05-24 14:17:57 -0400,2010-05-26 12:35:15 -0400,,
Gordon House,1,2010-05-24 14:17:57 -0400,2010-05-24 14:17:57 -0400,,
Facebook,4,2010-05-25 14:56:33 -0400,2010-05-26 12:35:15 -0400,,
Air Jamaica,1,2010-05-25 14:56:33 -0400,2010-05-25 14:56:33 -0400,,
Blood Bank,1,2010-05-25 14:56:33 -0400,2010-05-25 14:56:33 -0400,,
Jamaica Constabulary Force,2,2010-05-25 14:56:33 -0400,2010-06-23 13:09:53 -0400,,
Caricom,1,2010-05-25 14:56:33 -0400,2010-05-25 14:56:33 -0400,,
IMF,1,2010-05-25 14:56:33 -0400,2010-05-25 14:56:33 -0400,,
PNM,1,2010-05-25 14:56:33 -0400,2010-05-25 14:56:33 -0400,,
CNN,4,2010-05-26 12:35:15 -0400,2010-05-26 12:35:15 -0400,,
Barbados Free Press,1,2010-05-26 12:35:15 -0400,2010-05-26 12:35:15 -0400,,
Calabash International Literary Festival,2,2010-05-26 22:10:24 -0400,2010-05-26 22:10:24 -0400,,
ABC,1,2010-05-26 22:10:24 -0400,2010-05-26 22:10:24 -0400,,
Kingston Public Hospital,1,2010-05-26 22:10:24 -0400,2010-05-26 22:10:24 -0400,,
Chez Hsia,2,2010-05-26 22:10:24 -0400,2010-05-27 10:57:49 -0400,,
Red Hills,3,2010-05-27 10:57:49 -0400,2010-05-27 10:57:49 -0400,,
Denham Town,1,2010-05-27 19:01:13 -0400,2010-05-27 19:01:13 -0400,,
Jamaica Observer,1,2010-05-27 19:01:13 -0400,2010-05-27 19:01:13 -0400,,
Amnesty International,1,2010-05-27 19:01:13 -0400,2010-05-27 19:01:13 -0400,,
The Jamaica Gleaner,1,2010-05-27 19:01:13 -0400,2010-05-27 19:01:13 -0400,,
National Arena,1,2010-05-30 21:55:44 -0400,2010-05-30 21:55:44 -0400,,
Security Forces,1,2010-05-30 21:55:44 -0400,2010-05-30 21:55:44 -0400,,
CARICOM,4,2010-05-30 21:55:44 -0400,2010-05-30 21:55:44 -0400,,
Nelson Mandela Highway,1,2010-06-23 13:09:53 -0400,2010-06-23 13:09:53 -0400,,
US Embassy,1,2010-06-23 13:09:53 -0400,2010-06-23 13:09:53 -0400,,
St. Catherine,1,2010-06-23 13:09:53 -0400,2010-06-23 13:09:53 -0400,,
St. Catherine State of Emergency,1,2010-06-23 13:09:53 -0400,2010-06-23 13:09:53 -0400,,
New York Post,1,2010-06-29 09:48:41 -0400,2010-06-29 09:48:41 -0400,,
Cabinet,1,2010-06-29 09:48:41 -0400,2010-06-29 09:48:41 -0400,,
OGNR,2,2010-06-29 09:48:41 -0400,2010-06-29 09:48:41 -0400,,
Kingston,1,2010-06-29 09:48:41 -0400,2010-06-29 09:48:41 -0400,,
