people,count,first_date,last_date,lat,lon
Nelson Mandela,115,2013-12-05 23:08:39 -0500,2013-12-09 20:37:03 -0500,,
Jacob Zuma,1,2013-12-05 23:08:39 -0500,2013-12-05 23:08:39 -0500,,
Shridath Ramphal,1,2013-12-05 23:08:39 -0500,2013-12-05 23:08:39 -0500,,
Raynier Maharaj,1,2013-12-05 23:08:39 -0500,2013-12-05 23:08:39 -0500,,
Vernon O'Reilly Ramesar,1,2013-12-05 23:08:39 -0500,2013-12-05 23:08:39 -0500,,
Skye Hernandez,1,2013-12-05 23:08:39 -0500,2013-12-05 23:08:39 -0500,,
Madiba,11,2013-12-05 23:08:39 -0500,2013-12-11 19:21:16 -0500,,
Franz Gillezeau,1,2013-12-05 23:08:39 -0500,2013-12-05 23:08:39 -0500,,
Georgia Popplewell,1,2013-12-05 23:08:39 -0500,2013-12-05 23:08:39 -0500,,
Fidel Castro,11,2013-12-05 23:08:39 -0500,2013-12-11 19:21:16 -0500,,
Eusebio Penalver Mazorra,2,2013-12-05 23:08:39 -0500,2013-12-05 23:08:39 -0500,,
Vaclav Havel,1,2013-12-05 23:08:39 -0500,2013-12-05 23:08:39 -0500,,
Sina Weibo,1,2013-12-06 09:45:56 -0500,2013-12-06 09:45:56 -0500,,
Mao Zedong,21,2013-12-06 09:45:56 -0500,2013-12-06 09:45:56 -0500,,
Zhou Enlai,2,2013-12-06 09:45:56 -0500,2013-12-06 09:45:56 -0500,,
Zhu De,2,2013-12-06 09:45:56 -0500,2013-12-06 09:45:56 -0500,,
Xi Jinping,2,2013-12-06 09:45:56 -0500,2013-12-06 09:45:56 -0500,,
Gandhi,3,2013-12-06 09:45:56 -0500,2013-12-06 09:45:56 -0500,,
Huang Yen,1,2013-12-06 09:45:56 -0500,2013-12-06 09:45:56 -0500,,
Meng Qingde,1,2013-12-06 09:45:56 -0500,2013-12-06 09:45:56 -0500,,
Nelson Rolihlahla Mandela,1,2013-12-06 08:14:04 -0500,2013-12-06 08:14:04 -0500,,
Oluwatosin Olaseinde,2,2013-12-06 08:14:04 -0500,2013-12-06 08:14:04 -0500,,
Oby Ezekwesili,1,2013-12-06 08:14:04 -0500,2013-12-06 08:14:04 -0500,,
Abang Mercy-Asu,2,2013-12-06 08:14:04 -0500,2013-12-06 08:14:04 -0500,,
Nze Sylva Ifedigbo,1,2013-12-06 08:14:04 -0500,2013-12-06 08:14:04 -0500,,
Ahmed Tinubu,2,2013-12-06 08:14:04 -0500,2013-12-06 08:14:04 -0500,,
Nnayelugo,1,2013-12-06 08:14:04 -0500,2013-12-06 08:14:04 -0500,,
Jason Kayode,2,2013-12-06 08:14:04 -0500,2013-12-06 08:14:04 -0500,,
