cities,count,first_date,last_date,lat,lon
Mumbai,3,2013-07-18 00:41:07 -0400,2013-07-29 23:49:28 -0400,19.07283,72.88261
Bogotá,1,2013-03-08 07:36:29 -0500,2013-03-08 07:36:29 -0500,4.60971,-74.08175
Weimar,1,2013-03-08 07:36:29 -0500,2013-03-08 07:36:29 -0500,50.9803,11.32903
Shanghai,1,2013-03-12 03:02:46 -0400,2013-03-12 03:02:46 -0400,31.22222,121.45806
Jiaxing,1,2013-03-12 03:02:46 -0400,2013-03-12 03:02:46 -0400,30.7522,120.75
Ishinomaki,1,2013-03-16 02:32:15 -0400,2013-03-16 02:32:15 -0400,38.41667,141.3
Bafra,1,2013-04-07 19:19:48 -0400,2013-04-07 19:19:48 -0400,41.56778,35.90694
Calcutta,1,2013-04-07 19:19:48 -0400,2013-04-07 19:19:48 -0400,40.6734,-80.57646
Korea,1,2013-04-18 23:50:52 -0400,2013-04-18 23:50:52 -0400,37.94203,-83.47852
Gaza,1,2013-05-18 18:15:33 -0400,2013-05-18 18:15:33 -0400,31.5,34.46667
Beijing,1,2013-05-21 21:15:32 -0400,2013-05-21 21:15:32 -0400,39.9075,116.39723
Tokyo,2,2013-05-28 08:05:54 -0400,2013-05-28 08:05:54 -0400,35.6895,139.69171
Yulin,1,2013-06-24 22:49:36 -0400,2013-06-24 22:49:36 -0400,22.63333,110.15
Jinhua,1,2013-06-24 22:49:36 -0400,2013-06-24 22:49:36 -0400,29.10678,119.64421
Ayacucho,1,2013-11-06 05:30:23 -0500,2013-11-06 05:30:23 -0500,-13.15878,-74.22321
Lima,1,2013-11-06 05:30:23 -0500,2013-11-06 05:30:23 -0500,-12.04318,-77.02824
Tsukishima,1,2013-11-22 13:15:10 -0500,2013-11-22 13:15:10 -0500,35.65833,139.78333
Mahdia,3,2013-10-10 18:47:47 -0400,2014-02-26 03:29:30 -0500,35.50472,11.06222
Seoul,2,2014-01-21 01:08:16 -0500,2014-01-21 01:08:16 -0500,37.566,126.9784
Nicosia,1,2014-02-04 11:03:01 -0500,2014-02-04 11:03:01 -0500,35.16667,33.36667
Kakuma,1,2014-02-05 11:28:51 -0500,2014-02-05 11:28:51 -0500,3.70603,34.87328
Montevideo,1,2014-02-07 06:26:51 -0500,2014-02-07 06:26:51 -0500,-34.90328,-56.18816
Shēr Jān Khēl,1,2014-02-11 16:38:30 -0500,2014-02-11 16:38:30 -0500,34.61195,69.03757
Kamba,1,2014-02-18 17:09:39 -0500,2014-02-18 17:09:39 -0500,11.84864,3.65761
Delhi,1,2014-02-18 15:16:22 -0500,2014-02-18 15:16:22 -0500,28.65381,77.22897
Ruganda,1,2014-02-26 03:29:30 -0500,2014-02-26 03:29:30 -0500,-2.5079,28.9294
Bordeaux,1,2014-02-26 03:58:20 -0500,2014-02-26 03:58:20 -0500,44.84044,-0.5805
Dedhna,1,2014-02-27 03:31:05 -0500,2014-02-27 03:31:05 -0500,30.04246,76.11903
Kolkata,1,2014-02-27 17:05:29 -0500,2014-02-27 17:05:29 -0500,22.56263,88.36304
London,1,2014-03-04 03:56:49 -0500,2014-03-04 03:56:49 -0500,51.50853,-0.12574
Jeonju,1,2014-03-04 03:56:49 -0500,2014-03-04 03:56:49 -0500,35.82194,127.14889
