organizations,count,first_date,last_date,lat,lon
Buddhist,1,2005-08-24 11:34:21 -0400,2005-08-24 11:34:21 -0400,,
Parliament,7,2008-12-31 02:30:39 -0500,2008-12-31 02:30:39 -0500,,
People’s Alliance for Democracy,1,2008-12-31 02:30:39 -0500,2008-12-31 02:30:39 -0500,,
Democratic Alliance Against Dictatorship,1,2008-12-31 02:30:39 -0500,2008-12-31 02:30:39 -0500,,
New Mandala,1,2008-12-31 02:30:39 -0500,2008-12-31 02:30:39 -0500,,
Reds,6,2008-12-31 02:30:39 -0500,2008-12-31 02:30:39 -0500,,
Association of Southeast Asian Nations,1,2009-04-11 14:35:22 -0400,2009-04-11 14:35:22 -0400,,
interior of the Royal Cliff Beach Resort,1,2009-04-11 14:35:22 -0400,2009-04-11 14:35:22 -0400,,
ASEAN,1,2009-04-11 14:35:22 -0400,2009-04-11 14:35:22 -0400,,
Red Shirts,9,2009-04-13 17:14:28 -0400,2010-03-15 23:50:55 -0400,,
Ministry of Foreign Affairs,1,2009-04-15 14:46:35 -0400,2009-04-15 14:46:35 -0400,,
Government House,1,2009-04-15 14:46:35 -0400,2009-04-15 14:46:35 -0400,,
United Front of Democracy Against Dictatorship,2,2010-03-11 08:43:31 -0500,2010-03-11 08:43:31 -0500,,
Sanam Luang,1,2010-03-11 08:43:31 -0500,2010-03-11 08:43:31 -0500,,
View Bangkok Dangerous,1,2010-03-11 08:43:31 -0500,2010-03-11 08:43:31 -0500,,
Good People of Bangkok and International Communities,1,2010-03-11 08:43:31 -0500,2010-03-11 08:43:31 -0500,,
Coke,1,2010-03-14 20:43:13 -0400,2010-03-14 20:43:13 -0400,,
Thammasat University,1,2010-03-14 20:43:13 -0400,2010-03-14 20:43:13 -0400,,
RSR,1,2010-03-14 20:43:13 -0400,2010-03-14 20:43:13 -0400,,
Thailand Voice,1,2010-03-14 20:43:13 -0400,2010-03-14 20:43:13 -0400,,
Red Cross,1,2010-03-15 23:50:55 -0400,2010-03-15 23:50:55 -0400,,
Red Shirt,4,2010-04-11 12:11:07 -0400,2010-05-25 08:43:47 -0400,,
APC,1,2010-04-11 12:11:07 -0400,2010-04-11 12:11:07 -0400,,
Freedom Against Censorship Thailand,1,2010-04-12 02:52:59 -0400,2010-04-12 02:52:59 -0400,,
Ministry of Information and Communication Technology



 The Ministry of Information and Communication Technology,1,2010-04-29 00:57:10 -0400,2010-04-29 00:57:10 -0400,,
Ministry of Information and Communication Technology,1,2010-04-29 00:57:10 -0400,2010-04-29 00:57:10 -0400,,
MICT,4,2010-04-29 00:57:10 -0400,2010-04-29 00:57:10 -0400,,
Thailand Cable TV Association,1,2010-04-29 00:57:10 -0400,2010-04-29 00:57:10 -0400,,
ICT,1,2010-04-29 00:57:10 -0400,2010-04-29 00:57:10 -0400,,
Facebook,6,2010-04-29 00:57:10 -0400,2010-05-25 08:43:47 -0400,,
BBC,1,2010-04-29 00:57:10 -0400,2010-04-29 00:57:10 -0400,,
CNN,4,2010-04-29 00:57:10 -0400,2010-05-18 00:58:07 -0400,,
PTV,1,2010-04-29 00:57:10 -0400,2010-04-29 00:57:10 -0400,,
UN,1,2010-05-15 01:25:32 -0400,2010-05-15 01:25:32 -0400,,
Army,1,2010-05-15 23:38:17 -0400,2010-05-15 23:38:17 -0400,,
CRES,2,2010-05-15 23:38:17 -0400,2010-05-18 00:58:07 -0400,,
Khlong Toei,1,2010-05-18 00:58:07 -0400,2010-05-18 00:58:07 -0400,,
Ramkhamhaeng,1,2010-05-18 00:58:07 -0400,2010-05-18 00:58:07 -0400,,
Reuters Live Blog,1,2010-05-19 22:33:51 -0400,2010-05-19 22:33:51 -0400,,
Stock Exchange,1,2010-05-19 22:33:51 -0400,2010-05-19 22:33:51 -0400,,
Bangkok Bank Saphan Luang,1,2010-05-19 22:33:51 -0400,2010-05-19 22:33:51 -0400,,
Nakhon,1,2010-05-21 05:33:35 -0400,2010-05-21 05:33:35 -0400,,
Neda,2,2010-05-22 03:01:07 -0400,2010-05-22 03:01:07 -0400,,
Privy Council,1,2010-05-22 03:01:07 -0400,2010-05-22 03:01:07 -0400,,
Taiwan Public Television,1,2010-05-22 03:01:07 -0400,2010-05-22 03:01:07 -0400,,
Red Shirt Movement,1,2010-05-25 08:43:47 -0400,2010-05-25 08:43:47 -0400,,
Khmer Empire,1,2010-05-25 08:43:47 -0400,2010-05-25 08:43:47 -0400,,
VIP Golden House,1,2010-05-25 08:43:47 -0400,2010-05-25 08:43:47 -0400,,
Fine Arts Department,1,2010-05-25 08:43:47 -0400,2010-05-25 08:43:47 -0400,,
Facebook Group,1,2010-05-25 08:43:47 -0400,2010-05-25 08:43:47 -0400,,
Chulalongkorn University,2,2010-05-31 22:19:13 -0400,2010-05-31 22:19:13 -0400,,
Adisorn Military Camp,1,2010-05-31 22:19:13 -0400,2010-05-31 22:19:13 -0400,,
Matichon,1,2010-05-31 22:19:13 -0400,2010-05-31 22:19:13 -0400,,
Department of Philosophy,1,2010-05-31 22:19:13 -0400,2010-05-31 22:19:13 -0400,,
Silpakorn University,1,2010-05-31 22:19:13 -0400,2010-05-31 22:19:13 -0400,,
Adisorn Army Camp,2,2010-05-31 22:19:13 -0400,2010-05-31 22:19:13 -0400,,
Bonsong Chaisingkananont

Department of Philosophy

Silpakorn University,1,2010-05-31 22:19:13 -0400,2010-05-31 22:19:13 -0400,,
