cities,count,first_date,last_date,lat,lon
California,1,2010-08-02 23:19:27 -0400,2010-08-02 23:19:27 -0400,38.3004,-76.50745
Cupertino,1,2010-08-02 23:19:27 -0400,2010-08-02 23:19:27 -0400,37.323,-122.03218
Korea,1,2010-08-02 23:19:27 -0400,2010-08-02 23:19:27 -0400,37.94203,-83.47852
Khabarovsk,1,2010-08-25 23:39:11 -0400,2010-08-25 23:39:11 -0400,48.48272,135.08379
Tula,1,2010-08-25 23:39:11 -0400,2010-08-25 23:39:11 -0400,54.19609,37.61822
Gabrovo,1,2010-11-01 19:35:00 -0400,2010-11-01 19:35:00 -0400,42.87472,25.33417
