organizations,count,first_date,last_date,lat,lon
Nuestra Señora de la Divina Providencia Church,1,2010-02-27 15:23:12 -0500,2010-02-27 15:23:12 -0500,,
Diarios Ciudadanos,1,2010-02-27 15:23:12 -0500,2010-02-27 15:23:12 -0500,,
VTR,2,2010-02-27 15:23:12 -0500,2010-02-27 15:23:12 -0500,,
Bilbao Towers,1,2010-02-27 15:23:12 -0500,2010-02-27 15:23:12 -0500,,
Easter Island,1,2010-02-28 06:14:51 -0500,2010-02-28 06:14:51 -0500,,
Ignacio Nuñez C.,1,2010-02-28 19:29:11 -0500,2010-02-28 19:29:11 -0500,,
De Cualquier Vaina,1,2010-02-28 19:29:11 -0500,2010-02-28 19:29:11 -0500,,
América del Sur,1,2010-02-28 19:29:11 -0500,2010-02-28 19:29:11 -0500,,
Navy,2,2010-02-28 20:43:10 -0500,2010-02-28 20:43:10 -0500,,
ONEMI,1,2010-02-28 20:43:10 -0500,2010-02-28 20:43:10 -0500,,
INCENDIO INTENCIONAL de LA POLAR,1,2010-03-02 10:35:10 -0500,2010-03-02 10:35:10 -0500,,
Carabineros,1,2010-03-02 10:35:10 -0500,2010-03-02 10:35:10 -0500,,
Alerta Roja,1,2010-03-02 10:35:10 -0500,2010-03-02 10:35:10 -0500,,
Communist Party,1,2010-03-02 10:35:10 -0500,2010-03-02 10:35:10 -0500,,
Carolina Tapia,1,2010-03-02 10:35:10 -0500,2010-03-02 10:35:10 -0500,,
Villa Universidad de Concepción,1,2010-03-02 10:35:10 -0500,2010-03-02 10:35:10 -0500,,
University of Concepción,1,2010-03-02 10:35:10 -0500,2010-03-02 10:35:10 -0500,,
Autoridades del Estado Chileno,1,2010-03-09 16:40:39 -0500,2010-03-09 16:40:39 -0500,,
Autoridades de Gobierno de este Estado Chileno,1,2010-03-09 16:40:39 -0500,2010-03-09 16:40:39 -0500,,
La Sociedad Civil,1,2010-03-09 16:40:39 -0500,2010-03-09 16:40:39 -0500,,
Civil Society,1,2010-03-09 16:40:39 -0500,2010-03-09 16:40:39 -0500,,
NGO,1,2010-03-09 16:40:39 -0500,2010-03-09 16:40:39 -0500,,
Center for Social Reflection and Action,1,2010-03-10 10:43:39 -0500,2010-03-10 10:43:39 -0500,,
Alberto Hurtado University,1,2010-03-10 10:43:39 -0500,2010-03-10 10:43:39 -0500,,
Observario Ciudadano,1,2010-03-10 10:43:39 -0500,2010-03-10 10:43:39 -0500,,
United Nations Development Program,1,2010-03-10 10:43:39 -0500,2010-03-10 10:43:39 -0500,,
UNDP,1,2010-03-10 10:43:39 -0500,2010-03-10 10:43:39 -0500,,
Socialist Party,1,2010-03-30 15:09:30 -0400,2010-03-30 15:09:30 -0400,,
Air Force,1,2010-03-30 15:09:30 -0400,2010-03-30 15:09:30 -0400,,
Global Voices Citizen Media Summit,1,2010-05-13 00:00:10 -0400,2010-05-13 00:00:10 -0400,,
Congress,1,2010-05-13 00:00:10 -0400,2010-05-13 00:00:10 -0400,,
