people,count,first_date,last_date,lat,lon
Mahmud Johnson,2,2010-02-03 10:28:14 -0500,2010-02-03 10:28:14 -0500,,
Stephen R. Johnson,1,2010-02-03 10:28:14 -0500,2010-02-03 10:28:14 -0500,,
Jerry B. Tarbolo Jr,1,2010-02-03 10:28:14 -0500,2010-02-03 10:28:14 -0500,,
Pauline Wleh,1,2010-02-03 10:28:14 -0500,2010-02-03 10:28:14 -0500,,
Merlin,1,2010-02-03 10:28:14 -0500,2010-02-03 10:28:14 -0500,,
Bakhtiyor Shodmonov,1,2010-04-03 15:02:00 -0400,2010-04-03 15:02:00 -0400,,
Neoleo,1,2010-04-03 15:02:00 -0400,2010-04-03 15:02:00 -0400,,
Jay,1,2010-04-03 15:02:00 -0400,2010-04-03 15:02:00 -0400,,
Maksim Popov,4,2010-04-03 15:02:00 -0400,2010-04-03 15:02:00 -0400,,
Nathan,1,2010-04-03 15:02:00 -0400,2010-04-03 15:02:00 -0400,,
Anna,1,2010-04-03 15:02:00 -0400,2010-04-03 15:02:00 -0400,,
Tian,14,2010-09-06 03:57:16 -0400,2010-09-06 03:57:16 -0400,,
Wang Keqin,1,2010-09-06 03:57:16 -0400,2010-09-06 03:57:16 -0400,,
Jia Guoyin,4,2010-09-06 03:57:16 -0400,2010-09-06 03:57:16 -0400,,
Li Junzhou,3,2010-09-06 03:57:16 -0400,2010-09-06 03:57:16 -0400,,
Veronica*,4,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,,
Servaas,1,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,,
Veronica Kalambi,1,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,,
Maxi,1,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,,
Menguele,1,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,,
Zimunina M.,1,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,,
David Smith,1,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,,
Mthembu,2,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,,
Gabriel Maliyere,1,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,,
Yafouta-Kaïe,1,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,,
Habibou Bangré,1,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,,
Mona,1,2010-09-11 23:34:33 -0400,2010-09-11 23:34:33 -0400,,
