people,count,first_date,last_date,lat,lon
Raza Rumi,3,2013-04-14 08:01:20 -0400,2013-04-14 08:01:20 -0400,,
Samad Khurram,1,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Ghulam Bilour,2,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Sanaullah Zehri,4,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Zulfiqar Afghani,3,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Ghulam Ahmed Bilour,1,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Abdul Khaliq,1,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Hoor F. Khan,1,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Insaaf,1,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Adnan Rasool,1,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Ghula Bilour,1,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Huma Yusuf,1,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Chowrangi,1,2013-04-17 17:04:03 -0400,2013-04-17 17:04:03 -0400,,
Ahmadis,6,2013-04-25 13:51:56 -0400,2013-04-25 13:51:56 -0400,,
Kidvai,1,2013-04-25 13:51:56 -0400,2013-04-25 13:51:56 -0400,,
Pervez Musharraf,1,2013-04-25 13:51:56 -0400,2013-04-25 13:51:56 -0400,,
Khuda,1,2013-04-25 13:51:56 -0400,2013-04-25 13:51:56 -0400,,
Imran Khan,3,2013-04-25 13:51:56 -0400,2013-04-25 13:51:56 -0400,,
Jahanzaib Haque,5,2013-05-02 16:28:01 -0400,2013-05-02 16:28:01 -0400,,
Jay Toons,2,2013-05-02 16:28:01 -0400,2013-05-02 16:28:01 -0400,,
Sarah Munir,1,2013-05-02 16:28:01 -0400,2013-05-02 16:28:01 -0400,,
Karachi Khatmal,1,2013-05-02 16:28:01 -0400,2013-05-02 16:28:01 -0400,,
Khan

Imran Khan,12,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Ahmadi,9,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Zarlasht Faisal,2,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Ahmedi,1,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Fazlur Rehman,3,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Jamaat-e-Islami,1,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Moeed Pirzada,2,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Maulana,2,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Bilal Fazal,1,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Imaan Hazir Mazari,1,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Zulfiqar Ali Bhutto,1,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Benazir Bhutto,2,2013-05-05 17:31:21 -0400,2013-05-12 16:21:50 -0400,,
Zia-ul-Haq,1,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Muhammad Ali Jinnah,1,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Imran Khan Sahib,20,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,,
Mian Nawaz Sharif,4,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,,
Shahbaz Sharif,2,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,,
Brian Lara,2,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,,
Alhumdulillah,1,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,,
Maryam Nawaz Sharif,1,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,,
Saad Sarfraz,2,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,,
Tahirul-Qadri,1,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,,
Rehman Malik,1,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,,
Hammad Siddiqui,1,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,,
