places,count,first_date,last_date,lat,lon
Russian Federation,16,2013-12-09 22:19:20 -0500,2013-12-09 22:19:20 -0500,60.0,100.0
Moscow,11,2013-12-09 22:19:20 -0500,2013-12-10 12:06:24 -0500,55.75222,37.61556
Respublika Ingushetiya,9,2013-12-09 22:19:20 -0500,2013-12-09 22:19:20 -0500,43.16667,45.0
North Caucasus,38,2013-12-09 22:19:20 -0500,2013-12-11 09:00:46 -0500,42.94838,44.06616
Europe,1,2013-12-09 22:15:04 -0500,2013-12-09 22:15:04 -0500,48.69096,9.14062
United States,1,2013-12-09 22:15:04 -0500,2013-12-09 22:15:04 -0500,39.76,-98.5
Dagestan,31,2013-12-09 22:15:04 -0500,2013-12-11 09:00:46 -0500,43.0,47.0
Chechenskaya Respublika,11,2013-12-09 22:15:04 -0500,2013-12-10 12:06:24 -0500,43.25,45.83333
Kabardino-Balkarskaya Respublika,2,2013-12-09 22:15:04 -0500,2013-12-09 22:15:04 -0500,43.5,43.5
North Ossetia,3,2013-12-09 22:15:04 -0500,2013-12-09 22:15:04 -0500,43.0,44.25
Groznyy,5,2013-12-10 12:06:24 -0500,2013-12-10 12:06:24 -0500,43.31195,45.68895
Makhachkala,3,2013-12-11 05:14:34 -0500,2013-12-11 09:00:46 -0500,42.97638,47.50236
Anokhino,1,2013-12-11 09:00:46 -0500,2013-12-11 09:00:46 -0500,55.05778,34.70417
Republic of Azerbaijan,1,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,40.5,47.5
State of Israel,1,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,31.5,34.75
Middle East,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,33.13906,35.85869
Beslan,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,43.19217,44.54313
Tambovskaya Oblast’,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,52.75,41.5
