cities,count,first_date,last_date,lat,lon
Buenavista,1,2011-08-08 12:10:07 -0400,2011-08-08 12:10:07 -0400,19.60833,-99.16944
Chicago,2,2012-10-17 05:30:28 -0400,2012-10-17 05:30:28 -0400,41.85003,-87.65005
Tamaulipas,1,2012-10-24 15:06:21 -0400,2012-10-24 15:06:21 -0400,15.92222,-92.17083
Mexico City,4,2012-10-24 15:06:21 -0400,2012-10-24 15:06:21 -0400,19.42847,-99.12766
Las Vegas,1,2013-02-05 09:13:01 -0500,2013-02-05 09:13:01 -0500,36.17497,-115.13722
New York City,1,2013-02-20 07:15:20 -0500,2013-02-20 07:15:20 -0500,40.71427,-74.00597
Monterrey,1,2013-07-15 14:44:40 -0400,2013-07-15 14:44:40 -0400,25.67506,-100.31846
Tegucigalpa,1,2013-07-15 14:44:40 -0400,2013-07-15 14:44:40 -0400,14.0818,-87.20681
Los Angeles,1,2013-07-26 11:11:02 -0400,2013-07-26 11:11:02 -0400,34.05223,-118.24368
Capitol Hill,2,2013-07-26 11:11:02 -0400,2013-07-30 09:00:18 -0400,38.889,-77.00025
Parral,1,2013-08-28 11:44:43 -0400,2013-08-28 11:44:43 -0400,-36.14311,-71.82605
Nogales,1,2013-08-28 11:44:43 -0400,2013-08-28 11:44:43 -0400,31.30862,-110.94217
Ciudad Juárez,1,2013-08-28 11:44:43 -0400,2013-08-28 11:44:43 -0400,31.73333,-106.48333
Washington D. C.,2,2013-04-23 19:36:50 -0400,2013-04-23 19:36:50 -0400,38.89511,-77.03637
Albuquerque,1,2013-04-23 19:36:50 -0400,2013-04-23 19:36:50 -0400,35.08449,-106.65114
El Encuentro,1,2013-04-23 19:36:50 -0400,2013-04-23 19:36:50 -0400,15.49167,-92.22778
Boston,1,2013-04-23 19:36:50 -0400,2013-04-23 19:36:50 -0400,42.35843,-71.05977
