organizations,count,first_date,last_date,lat,lon
NSA,20,2013-07-04 11:10:39 -0400,2013-07-17 17:05:28 -0400,,
Wikileaks,1,2013-07-04 11:10:39 -0400,2013-07-04 11:10:39 -0400,,
Aeroflot,1,2013-07-04 11:10:39 -0400,2013-07-04 11:10:39 -0400,,
Nashi,1,2013-07-04 11:10:39 -0400,2013-07-04 11:10:39 -0400,,
International Association of Veterans of the Anti-Terrorist Alpha Group,1,2013-07-04 11:10:39 -0400,2013-07-04 11:10:39 -0400,,
Facebook,9,2013-07-04 11:10:39 -0400,2013-06-12 13:38:51 -0400,,
SORM,1,2013-07-04 11:10:39 -0400,2013-07-04 11:10:39 -0400,,
Union of South American Nations,2,2013-07-04 10:37:08 -0400,2013-07-09 13:49:57 -0400,,
Interior Ministry of Austria,1,2013-07-04 10:37:08 -0400,2013-07-04 10:37:08 -0400,,
U.S. National Security Agency,2,2013-07-09 13:49:57 -0400,2013-07-09 13:49:57 -0400,,
UNASUR,3,2013-07-09 13:49:57 -0400,2013-07-09 13:49:57 -0400,,
Reuters,1,2013-07-09 13:49:57 -0400,2013-07-09 13:49:57 -0400,,
Department of Justice,3,2013-07-09 13:49:57 -0400,2013-06-26 12:53:14 -0400,,
U.S. Congress,1,2013-07-09 13:49:57 -0400,2013-07-09 13:49:57 -0400,,
National Security Agency,5,2013-07-09 13:49:57 -0400,2013-07-17 17:05:28 -0400,,
Edward Snowden de Moscú,1,2013-07-09 13:49:57 -0400,2013-07-09 13:49:57 -0400,,
Nicmer Evans,1,2013-07-09 13:49:57 -0400,2013-07-09 13:49:57 -0400,,
CIA,8,2013-07-09 13:49:57 -0400,2013-06-19 08:10:14 -0400,,
Investigative Journalism of Puerto Rico,1,2013-07-15 09:22:41 -0400,2013-07-15 09:22:41 -0400,,
Central Intelligence Agency,2,2013-07-15 09:22:41 -0400,2013-07-17 17:05:28 -0400,,
O Globo,2,2013-07-15 09:22:41 -0400,2013-07-15 12:14:18 -0400,,
NGO,2,2013-07-15 18:32:23 -0400,2013-07-15 18:32:23 -0400,,
Presidential Council on Human Rights,1,2013-07-15 18:32:23 -0400,2013-07-15 18:32:23 -0400,,
FSB,1,2013-07-15 18:32:23 -0400,2013-07-15 18:32:23 -0400,,
Pro-Kremlin,1,2013-07-15 18:32:23 -0400,2013-07-15 18:32:23 -0400,,
UNITED STATES OF AMERICA,1,2013-07-15 18:32:23 -0400,2013-07-15 18:32:23 -0400,,
Human Right's Watch,1,2013-07-15 18:32:23 -0400,2013-07-15 18:32:23 -0400,,
MERCOSUR,1,2013-07-15 12:14:18 -0400,2013-07-15 12:14:18 -0400,,
US Congress,1,2013-07-15 12:14:18 -0400,2013-07-15 12:14:18 -0400,,
Associated Press,1,2013-07-15 12:14:18 -0400,2013-07-15 12:14:18 -0400,,
El Espectador,1,2013-07-15 12:14:18 -0400,2013-07-15 12:14:18 -0400,,
United States National Security Agency,2,2013-07-16 04:11:05 -0400,2013-06-17 23:23:01 -0400,,
Congress,3,2013-07-16 04:11:05 -0400,2013-07-16 04:11:05 -0400,,
National Intelligence,1,2013-07-16 04:11:05 -0400,2013-07-16 04:11:05 -0400,,
Ciudad de México y Ciudad de Panamá,1,2013-07-17 17:05:28 -0400,2013-07-17 17:05:28 -0400,,
Navy,1,2013-07-17 17:05:28 -0400,2013-07-17 17:05:28 -0400,,
U.S. Navy,1,2013-07-17 17:05:28 -0400,2013-07-17 17:05:28 -0400,,
Data Centers de Puerto Rico,1,2013-07-17 17:05:28 -0400,2013-07-17 17:05:28 -0400,,
