people,count,first_date,last_date,lat,lon
Show-Ling Jang,3,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,,
Shiao-Shiao,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,,
Hong-Hong,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,,
Yu-Tsang,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,,
Ying-Dar Lin,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,,
Chang Ching-Chung,4,2014-03-19 12:56:12 -0400,2014-03-19 12:56:12 -0400,,
Ma Ying Jeou,2,2014-03-19 12:56:12 -0400,2014-03-19 12:56:12 -0400,,
J. Michael Cole,1,2014-03-19 12:56:12 -0400,2014-03-19 12:56:12 -0400,,
Ma Ying-jeou,8,2014-03-19 12:56:12 -0400,2014-03-19 12:56:12 -0400,,
Chiang,1,2014-03-20 07:54:34 -0400,2014-03-20 07:54:34 -0400,,
Wei Liulin,3,2014-03-20 07:54:34 -0400,2014-03-25 10:57:58 -0400,,
Örkesh Dölet,2,2014-03-20 07:54:34 -0400,2014-03-20 07:54:34 -0400,,
Wang Dan,1,2014-03-20 07:54:34 -0400,2014-03-20 07:54:34 -0400,,
Yeh Jiunn Tyng,1,2014-03-20 21:13:21 -0400,2014-03-20 21:13:21 -0400,,
Kong Fu Panda,1,2014-03-22 12:32:03 -0400,2014-03-22 12:32:03 -0400,,
Cheng Nan-Jung,1,2014-03-22 12:32:03 -0400,2014-03-22 12:32:03 -0400,,
Lunyeah Wong,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Po Lui,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Jocelyn Yiu,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Chan Hoi Yan,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Desmond Sham,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Josephine Lui,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Kay Lam,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Albert Ting,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Yu Fung,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Francis Wong,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Ma Ying-Jeou,2,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Mista Noeleon,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,,
Fang Wei-Li,1,2014-03-25 10:57:58 -0400,2014-03-25 10:57:58 -0400,,
Ahuei Zhang,1,2014-03-25 10:57:58 -0400,2014-03-25 10:57:58 -0400,,
Du Ying-Yue,1,2014-03-25 10:57:58 -0400,2014-03-25 10:57:58 -0400,,
Fu Kung-Chi,1,2014-03-31 01:53:18 -0400,2014-03-31 01:53:18 -0400,,
Amis,1,2014-03-31 01:53:18 -0400,2014-03-31 01:53:18 -0400,,
Ayal Komod,1,2014-03-31 01:53:18 -0400,2014-03-31 01:53:18 -0400,,
Lu Tong-hi,1,2014-03-31 04:50:01 -0400,2014-03-31 04:50:01 -0400,,
Hu Jia,1,2014-03-31 04:50:01 -0400,2014-03-31 04:50:01 -0400,,
Yung-Chen Nieh,1,2014-04-01 10:59:31 -0400,2014-04-01 10:59:31 -0400,,
Emily Dickinson,1,2014-04-01 10:59:31 -0400,2014-04-01 10:59:31 -0400,,
Chun-Hung Wang,9,2014-04-01 10:59:31 -0400,2014-04-01 10:59:31 -0400,,
Chung Hung Wang,1,2014-04-01 10:59:31 -0400,2014-04-01 10:59:31 -0400,,
Chung-Hung Wang,1,2014-04-01 10:59:31 -0400,2014-04-01 10:59:31 -0400,,
Banksy,1,2014-04-05 02:00:42 -0400,2014-04-05 02:00:42 -0400,,
Lee Chih-Te,1,2014-04-05 02:00:42 -0400,2014-04-05 02:00:42 -0400,,
Nydia Chen,1,2014-04-16 22:06:59 -0400,2014-04-16 22:06:59 -0400,,
Wang Li,2,2014-04-16 22:06:59 -0400,2014-04-16 22:06:59 -0400,,
Lidance,1,2014-04-16 22:06:59 -0400,2014-04-16 22:06:59 -0400,,
Mencius,2,2014-04-16 22:06:59 -0400,2014-04-16 22:06:59 -0400,,
Hui of Liang,1,2014-04-16 22:06:59 -0400,2014-04-16 22:06:59 -0400,,
Hsieh,1,2014-04-16 22:06:59 -0400,2014-04-16 22:06:59 -0400,,
Jan Chiu,2,2014-04-16 22:06:59 -0400,2014-04-16 22:06:59 -0400,,
Zhou,1,2014-04-16 22:06:59 -0400,2014-04-16 22:06:59 -0400,,
Confucius,1,2014-04-16 22:06:59 -0400,2014-04-16 22:06:59 -0400,,
