cities,count,first_date,last_date,lat,lon
Santiago,3,2010-02-27 15:23:12 -0500,2010-05-13 00:00:10 -0400,-33.45694,-70.64827
Quintal Qik,1,2010-02-27 21:23:20 -0500,2010-02-27 21:23:20 -0500,-8.56,125.58306
Llaillay,1,2010-02-27 21:23:20 -0500,2010-02-27 21:23:20 -0500,-32.84043,-70.95623
Pacific,1,2010-02-27 21:23:20 -0500,2010-02-27 21:23:20 -0500,38.482,-90.74152
Cañete,1,2010-02-27 21:06:09 -0500,2010-02-27 21:06:09 -0500,-37.80128,-73.39616
Valdivia,1,2010-02-27 21:06:09 -0500,2010-02-27 21:06:09 -0500,-39.81422,-73.24589
Остров Пасхи,1,2010-02-28 06:14:51 -0500,2010-02-28 06:14:51 -0500,-27.11124,-109.35053
Talcahuano,3,2010-02-28 20:43:10 -0500,2010-03-30 15:09:30 -0400,-36.72494,-73.11684
Boca Sur,1,2010-03-02 10:35:10 -0500,2010-03-02 10:35:10 -0500,-36.82825,-73.14938
Bellavista,1,2010-03-02 10:35:10 -0500,2010-03-02 10:35:10 -0500,-7.05614,-76.5911
Ercilla,1,2010-03-09 16:40:39 -0500,2010-03-09 16:40:39 -0500,-38.06323,-72.37425
San Pedro de la Paz,1,2010-03-30 15:09:30 -0400,2010-03-30 15:09:30 -0400,-36.83897,-73.10028
Vichuquén,1,2010-03-30 15:09:30 -0400,2010-03-30 15:09:30 -0400,-34.88333,-71.99236
Lipimávida,1,2010-03-30 15:09:30 -0400,2010-03-30 15:09:30 -0400,-34.85503,-72.14306
