places,count,first_date,last_date,lat,lon
Republic of Tajikistan,7,2014-02-14 10:17:40 -0500,2014-02-14 12:48:17 -0500,39.0,71.0
United States,2,2014-02-14 10:17:40 -0500,2014-02-14 10:17:40 -0500,39.76,-98.5
Republic of Uzbekistan,5,2014-02-14 10:17:40 -0500,2014-02-14 12:48:17 -0500,41.66667,63.83333
Kyrgyz Republic,3,2014-02-14 10:17:40 -0500,2014-02-14 12:48:17 -0500,41.5,75.0
Moscow,1,2014-02-14 10:17:40 -0500,2014-02-14 10:17:40 -0500,55.75222,37.61556
Osh,3,2014-02-14 10:17:40 -0500,2014-02-14 12:48:17 -0500,40.51506,72.80826
People’s Republic of China,2,2014-02-14 13:16:28 -0500,2014-02-14 13:16:28 -0500,35.0,105.0
Taiwan,1,2014-02-14 13:16:28 -0500,2014-02-14 13:16:28 -0500,24.0,121.0
Shanghai,2,2014-02-14 13:16:28 -0500,2014-02-14 13:16:28 -0500,31.22222,121.45806
Islamic Republic of Pakistan,1,2014-02-14 07:05:21 -0500,2014-02-14 07:05:21 -0500,30.0,70.0
Islamic Republic of Iran,5,2014-02-14 10:11:01 -0500,2014-02-14 10:11:01 -0500,32.0,53.0
Swiss Confederation,1,2014-02-14 10:11:01 -0500,2014-02-14 10:11:01 -0500,47.00016,8.01427
Republic of Kazakhstan,3,2014-02-14 12:48:17 -0500,2014-02-14 12:48:17 -0500,48.0,68.0
Kostanay,2,2014-02-14 12:48:17 -0500,2014-02-14 12:48:17 -0500,53.21435,63.62463
Republic of Trinidad and Tobago,1,2014-02-14 14:13:36 -0500,2014-02-14 14:13:36 -0500,11.0,-61.0
Saint Lucia,1,2014-02-14 14:13:36 -0500,2014-02-14 14:13:36 -0500,13.88333,-60.96667
Caribbean,1,2014-02-14 14:13:36 -0500,2014-02-14 14:13:36 -0500,23.1168,-82.38859
