cities,count,first_date,last_date,lat,lon
Mumbai,1,2010-08-12 14:44:26 -0400,2010-08-12 14:44:26 -0400,19.07283,72.88261
Negrelos,1,2010-08-20 19:57:15 -0400,2010-08-20 19:57:15 -0400,41.34946,-8.40145
Accra,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,5.55602,-0.1969
Sunyani,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,7.33991,-2.32676
Miraflores,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,1.33667,-71.95111
Riyadh,1,2010-05-03 13:03:47 -0400,2010-05-03 13:03:47 -0400,24.68773,46.72185
Korea,1,2010-06-14 06:55:05 -0400,2010-06-14 06:55:05 -0400,37.94203,-83.47852
Quebrangulo,1,2010-06-24 18:50:47 -0400,2010-06-24 18:50:47 -0400,-9.31889,-36.47111
Hurghada,1,2010-06-26 18:01:02 -0400,2010-06-26 18:01:02 -0400,27.25738,33.81291
California,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,38.3004,-76.50745
Louisiana,1,2010-09-13 14:36:26 -0400,2010-09-13 14:36:26 -0400,39.44894,-91.05153
Mahdia,1,2010-09-13 14:36:26 -0400,2010-09-13 14:36:26 -0400,35.50472,11.06222
Ogoni,1,2010-09-13 14:36:26 -0400,2010-09-13 14:36:26 -0400,5.45054,5.9431
