organizations,count,first_date,last_date,lat,lon
Public Service Law,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Metropolitan Hospital,2,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Province Justice Court,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Hoy,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
National Assembly,3,2010-09-30 17:54:39 -0400,2010-10-26 20:04:07 -0400,,
SOLO EL CANAL DEL ESTADO ESTA EN CADENA NACIONAL,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
El Universo,1,2010-10-01 00:23:20 -0400,2010-10-01 00:23:20 -0400,,
Cobertura Digital,2,2010-10-01 01:23:18 -0400,2010-10-26 20:04:07 -0400,,
Parliament,1,2010-10-01 20:06:56 -0400,2010-10-01 20:06:56 -0400,,
Live Media Ecuador,1,2010-10-01 20:06:56 -0400,2010-10-01 20:06:56 -0400,,
Hernán Ramos,1,2010-10-01 20:06:56 -0400,2010-10-01 20:06:56 -0400,,
NIVEL NACIONAL,1,2010-10-01 20:06:56 -0400,2010-10-01 20:06:56 -0400,,
Ecuadorian Police,1,2010-10-01 20:06:56 -0400,2010-10-01 20:06:56 -0400,,
Santiago Armas,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Global Voices,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
MDG,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
PSC,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Ecuadorian Army,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Ecuadorian Air Force,1,2010-10-26 20:04:07 -0400,2010-10-26 20:04:07 -0400,,
Politica y Sociedad,1,2010-10-26 20:04:07 -0400,2010-10-26 20:04:07 -0400,,
HUMANA,1,2010-10-26 20:04:07 -0400,2010-10-26 20:04:07 -0400,,
CNN,1,2010-10-29 15:48:51 -0400,2010-10-29 15:48:51 -0400,,
