organizations,count,first_date,last_date,lat,lon
Central Bank,2,2013-11-03 18:21:00 -0500,2013-11-03 18:21:00 -0500,,
Saint Petersburg’s Academy of the Arts,1,2013-11-03 18:21:00 -0500,2013-11-03 18:21:00 -0500,,
StockExchange,1,2013-11-03 18:21:00 -0500,2013-11-03 18:21:00 -0500,,
Greenpeace,1,2013-12-24 02:01:30 -0500,2013-12-24 02:01:30 -0500,,
Higher School of Economics,1,2013-12-24 02:01:30 -0500,2013-12-24 02:01:30 -0500,,
Kommersant,1,2013-12-24 02:01:30 -0500,2013-12-24 02:01:30 -0500,,
Pussy Riot,2,2013-12-24 02:01:30 -0500,2013-12-24 02:01:30 -0500,,
International Olympic Committee,4,2013-09-30 21:04:53 -0400,2014-01-22 16:50:43 -0500,,
Krasnaya Polyana,1,2013-09-30 21:04:53 -0400,2013-09-30 21:04:53 -0400,,
The Moscow Times,1,2013-09-30 21:04:53 -0400,2013-09-30 21:04:53 -0400,,
Facebook,4,2013-09-30 21:04:53 -0400,2014-01-22 16:50:43 -0500,,
Circassian Genocide,1,2013-09-30 21:04:53 -0400,2013-09-30 21:04:53 -0400,,
Olympic Organizing Committee,1,2013-10-09 19:04:43 -0400,2013-10-09 19:04:43 -0400,,
Russian Ministry of Foreign Affairs,1,2014-01-15 15:30:05 -0500,2014-01-15 15:30:05 -0500,,
European Union,3,2014-01-15 15:30:05 -0500,2014-01-15 15:30:05 -0500,,
EU,1,2014-01-15 15:30:05 -0500,2014-01-15 15:30:05 -0500,,
International Skiing Federation,1,2014-01-22 16:50:43 -0500,2014-01-22 16:50:43 -0500,,
ISF,1,2014-01-22 16:50:43 -0500,2014-01-22 16:50:43 -0500,,
BBC,1,2014-01-25 15:07:47 -0500,2014-01-25 15:07:47 -0500,,
New York Times,3,2014-01-29 13:56:00 -0500,2014-01-29 13:56:00 -0500,,
Pro-Kremlin,1,2014-01-29 13:56:00 -0500,2014-01-29 13:56:00 -0500,,
SeaWorld,1,2014-02-03 15:51:31 -0500,2014-02-03 15:51:31 -0500,,
The World,1,2014-02-03 15:51:31 -0500,2014-02-03 15:51:31 -0500,,
CNN,3,2014-02-08 04:53:27 -0500,2014-02-11 16:21:47 -0500,,
Levada Center,1,2014-02-08 04:53:27 -0500,2014-02-08 04:53:27 -0500,,
IOC,4,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,,
International Media Content Ltd,1,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,,
SportsMax,6,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,,
Columbus Communications,1,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,,
NBC &amp; CBC,1,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,,
Columbus Communications Trinidad Limited,1,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,,
Jamaican Broadcast Commission,1,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,,
Anderson Armstrong,1,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,,
Bermuda Royal Gazette,1,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,,
Redbirds,1,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,,
Red Alert,1,2014-02-11 12:23:18 -0500,2014-02-11 12:23:18 -0500,,
Playboy Magazine,2,2014-02-11 12:23:18 -0500,2014-02-11 12:23:18 -0500,,
USSR,1,2014-02-11 16:21:47 -0500,2014-02-11 16:21:47 -0500,,
Tolstoy,1,2014-02-11 16:21:47 -0500,2014-02-11 16:21:47 -0500,,
Express Tribune,1,2014-02-13 10:58:39 -0500,2014-02-13 10:58:39 -0500,,
Korea Skating Union,1,2014-02-16 06:44:10 -0500,2014-02-16 06:44:10 -0500,,
Saenuri party,1,2014-02-16 06:44:10 -0500,2014-02-16 06:44:10 -0500,,
US News &amp; World Report,1,2014-02-18 18:50:36 -0500,2014-02-18 18:50:36 -0500,,
