cities,count,first_date,last_date,lat,lon
Rio de Janeiro,14,2013-07-16 08:19:08 -0400,2013-07-31 05:00:35 -0400,-22.90278,-43.2075
São José dos Campos,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,-23.17944,-45.88694
Pec,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,49.39857,12.83118
Fortaleza,2,2013-08-14 06:01:59 -0400,2013-08-14 06:01:59 -0400,-3.71722,-38.54306
Harmony Park,1,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,41.18189,-112.02883
Rio Grande,2,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,-32.035,-52.09861
Porto Alegre,1,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,-30.03306,-51.23
Itaituba,1,2013-05-24 04:00:20 -0400,2013-05-24 04:00:20 -0400,-4.27611,-55.98361
Rio,2,2013-06-17 16:23:45 -0400,2013-06-27 08:44:27 -0400,43.44776,-89.23984
Río de Janeiro,1,2013-06-17 21:19:29 -0400,2013-06-17 21:19:29 -0400,16.11278,-91.5425
Curitiba,1,2013-06-18 10:15:56 -0400,2013-06-18 10:15:56 -0400,-25.42778,-49.27306
Ribeirão Preto,1,2013-06-21 15:51:09 -0400,2013-06-21 15:51:09 -0400,-21.1775,-47.81028
Belo Horizonte,1,2013-06-27 18:30:39 -0400,2013-06-27 18:30:39 -0400,-19.92083,-43.93778
Carioca,1,2013-06-27 08:44:27 -0400,2013-06-27 08:44:27 -0400,-21.1,-63.38333
