places,count,first_date,last_date,lat,lon
Europe,12,2013-11-21 23:50:14 -0500,2014-02-25 17:28:36 -0500,48.69096,9.14062
Ukraine,264,2013-11-21 23:50:14 -0500,2014-02-25 20:30:17 -0500,49.0,32.0
Russian Federation,123,2013-11-21 23:50:14 -0500,2013-12-04 16:23:43 -0500,60.0,100.0
Kingdom of Sweden,1,2013-11-21 23:50:14 -0500,2013-11-21 23:50:14 -0500,62.0,15.0
Republic of Kazakhstan,2,2013-11-21 23:50:14 -0500,2013-11-21 23:50:14 -0500,48.0,68.0
Republic of Belarus,4,2013-11-21 23:50:14 -0500,2013-11-30 15:55:07 -0500,53.0,28.0
Kiev,48,2013-11-21 23:50:14 -0500,2014-02-25 20:30:17 -0500,50.45466,30.5238
Belgorod,1,2013-11-21 23:50:14 -0500,2013-11-21 23:50:14 -0500,50.61074,36.58015
European Union,8,2013-11-21 23:50:14 -0500,2013-11-29 12:47:41 -0500,50.83857,4.37599
West,2,2013-11-21 23:50:14 -0500,2014-02-09 18:40:54 -0500,31.80238,-97.09167
Washington,1,2013-11-21 23:50:14 -0500,2013-11-21 23:50:14 -0500,47.50012,-120.50147
Brussels,2,2013-11-21 23:50:14 -0500,2014-02-22 15:50:13 -0500,50.85045,4.34878
Eu,6,2013-11-25 18:41:57 -0500,2013-12-04 16:23:43 -0500,50.04606,1.42079
Purwanchal,1,2013-11-25 18:41:57 -0500,2013-11-25 18:41:57 -0500,27.23998,87.14802
Federative Republic of Brazil,1,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,-10.0,-55.0
Republic of Korea,1,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,36.5,127.75
Republic of India,1,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,22.0,79.0
Republic of Austria,2,2013-11-29 12:47:41 -0500,2014-03-18 14:36:35 -0400,47.33333,13.33333
Czech Republic,1,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,49.75,15.0
Commonwealth of Australia,1,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,-25.0,135.0
L’vivs’ka Oblast’,14,2013-11-29 12:47:41 -0500,2014-02-27 03:26:02 -0500,50.0,24.0
Vilnius,5,2013-11-29 12:47:41 -0500,2013-11-30 15:55:07 -0500,54.68916,25.2798
Hellenic Republic,3,2013-11-30 10:42:08 -0500,2014-03-11 01:55:58 -0400,39.0,22.0
Kingdom of Spain,1,2013-11-30 10:42:08 -0500,2013-11-30 10:42:08 -0500,40.0,-4.0
Khreshchatyk,1,2013-12-02 03:10:56 -0500,2013-12-02 03:10:56 -0500,51.63983,33.366
Shevchenko Park,1,2013-12-02 03:10:56 -0500,2013-12-02 03:10:56 -0500,40.03485,-75.1453
Qazyqurt,1,2013-12-02 03:10:56 -0500,2013-12-02 03:10:56 -0500,41.75979,69.38798
Moscow,23,2013-12-02 17:20:44 -0500,2014-02-25 20:30:17 -0500,55.75222,37.61556
România,1,2013-12-04 16:23:43 -0500,2013-12-04 16:23:43 -0500,46.0,25.0
Republic of Bulgaria,1,2013-12-04 16:23:43 -0500,2013-12-04 16:23:43 -0500,42.66667,25.25
Republic of Turkey,3,2013-12-06 10:08:58 -0500,2014-03-11 01:55:58 -0400,39.0,35.0
United States,22,2013-12-08 13:40:02 -0500,2014-02-25 17:28:36 -0500,39.76,-98.5
Federal Republic of Nigeria,1,2013-12-09 17:59:16 -0500,2013-12-09 17:59:16 -0500,10.0,8.0
Islamic Republic of Iran,6,2013-12-09 17:59:16 -0500,2014-02-25 17:28:36 -0500,32.0,53.0
Western Europe,1,2013-12-09 17:59:16 -0500,2013-12-09 17:59:16 -0500,48.57479,8.9209
Democratic People’s Republic of Korea,1,2014-01-17 15:52:13 -0500,2014-01-17 15:52:13 -0500,40.0,127.0
Central Asia,3,2014-01-17 15:52:13 -0500,2014-03-01 19:29:55 -0500,43.00465,71.71875
Volyns’ka Oblast’,2,2014-01-26 12:17:38 -0500,2014-02-20 12:30:44 -0500,51.0,25.0
Kyrgyz Republic,2,2014-01-27 13:10:44 -0500,2014-03-16 13:36:23 -0400,41.5,75.0
Republic of Armenia,2,2014-01-27 13:10:44 -0500,2014-01-27 13:10:44 -0500,40.25,45.0
Dynamo,2,2014-01-27 13:10:44 -0500,2014-01-27 13:10:44 -0500,47.23801,39.71702
Canada,2,2014-01-27 15:13:25 -0500,2014-02-09 18:40:54 -0500,60.10867,-113.64258
Syracuse,1,2014-01-27 15:13:25 -0500,2014-01-27 15:13:25 -0500,43.04812,-76.14742
New York,1,2014-01-27 15:13:25 -0500,2014-01-27 15:13:25 -0500,43.00035,-75.4999
Berkutkin,1,2014-02-06 20:25:35 -0500,2014-02-06 20:25:35 -0500,51.86667,59.61667
Sochi,10,2014-02-18 18:50:36 -0500,2014-02-25 00:41:16 -0500,43.59917,39.72569
Uzhhorod,2,2014-02-20 12:30:44 -0500,2014-02-20 12:30:44 -0500,48.61667,22.3
Luts’k,1,2014-02-20 12:30:44 -0500,2014-02-20 12:30:44 -0500,50.75932,25.34244
