places,count,first_date,last_date,lat,lon
Republic of the Philippines,1,2010-07-22 00:25:07 -0400,2010-07-22 00:25:07 -0400,13.0,122.0
Pasig River,1,2010-07-22 00:25:07 -0400,2010-07-22 00:25:07 -0400,15.11547,120.53276
Laguna de Bay,1,2010-07-22 00:25:07 -0400,2010-07-22 00:25:07 -0400,14.3751,121.2414
Islamic Republic of Pakistan,2,2010-08-08 06:40:34 -0400,2010-08-08 06:40:34 -0400,30.0,70.0
People’s Republic of China,1,2010-08-08 06:40:34 -0400,2010-08-08 06:40:34 -0400,35.0,105.0
Republic of Singapore,14,2010-08-08 06:40:34 -0400,2010-04-20 08:13:54 -0400,1.36667,103.8
Orchard Road School,3,2010-08-08 06:40:34 -0400,2010-08-08 06:40:34 -0400,39.48373,-75.05296
United States,13,2010-08-12 14:44:26 -0400,2010-08-12 14:44:26 -0400,39.76,-98.5
Commonwealth of Australia,2,2010-08-12 14:44:26 -0400,2010-08-12 14:44:26 -0400,-25.0,135.0
Republic of India,1,2010-08-12 14:44:26 -0400,2010-08-12 14:44:26 -0400,22.0,79.0
Chennai,1,2010-08-12 14:44:26 -0400,2010-08-12 14:44:26 -0400,13.08784,80.27847
Mumbai,2,2010-08-12 14:44:26 -0400,2010-08-12 14:44:26 -0400,19.07283,72.88261
Triplicane,1,2010-08-12 14:44:26 -0400,2010-08-12 14:44:26 -0400,13.055,80.27667
Portuguese Republic,2,2010-08-20 19:57:15 -0400,2010-08-20 19:57:15 -0400,39.6945,-8.13057
Negrelos,5,2010-08-20 19:57:15 -0400,2010-08-20 19:57:15 -0400,41.34946,-8.40145
Américo Brasiliense,1,2010-08-20 19:57:15 -0400,2010-08-20 19:57:15 -0400,-21.72444,-48.10167
Republic of Ghana,15,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,8.1,-1.2
Accra,5,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,5.55602,-0.1969
Sunyani,2,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,7.33991,-2.32676
Takoradi,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,4.88447,-1.75536
Kumasi,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,6.68848,-1.62443
Keta,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,5.91793,0.9879
Dansoman Estate,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,5.5412,-0.26422
Prampram,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,5.71515,0.10494
Osu,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,5.55728,-0.1864
New Achimota,1,2010-03-24 13:00:11 -0400,2010-03-24 13:00:11 -0400,5.62657,-0.25807
Middle East,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,33.13906,35.85869
Hong Kong,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,22.28552,114.15769
Hashemite Kingdom of Jordan,2,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,31.0,36.0
Republic of Iraq,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,33.0,44.0
Syrian Arab Republic,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,35.0,38.0
Republic of Turkey,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,39.0,35.0
Lebanon,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,33.83333,35.83333
Republic of Peru,4,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,-10.0,-75.25
Lima,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,-12.04318,-77.02824
Chicago,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,-8.11544,-79.02007
Cape Town,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,-33.92584,18.42322
London,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,51.50853,-0.12574
Los Angeles,2,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,34.05223,-118.24368
Milan,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,35.91979,-88.75895
Melbourne,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,-37.814,144.96332
Mexico City,2,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,19.42847,-99.12766
Minneapolis,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,44.97997,-93.26384
New York,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,43.00035,-75.4999
São Paolo,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,-23.5475,-46.63611
Toronto,1,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,43.70011,-79.4163
Rio de Janeiro,2,2010-04-20 08:13:54 -0400,2010-04-20 08:13:54 -0400,-22.90278,-43.2075
