cities,count,first_date,last_date,lat,lon
Copenhagen,1,2010-01-10 23:46:48 -0500,2010-01-10 23:46:48 -0500,55.67594,12.56553
Cusco,1,2010-01-27 13:16:28 -0500,2010-01-27 13:16:28 -0500,-13.52264,-71.96734
Pisac,1,2010-01-27 13:16:28 -0500,2010-01-27 13:16:28 -0500,-13.4225,-71.84667
Berlin,1,2010-03-04 22:40:30 -0500,2010-03-04 22:40:30 -0500,52.52437,13.41053
Riyadh,1,2010-05-03 13:03:47 -0400,2010-05-03 13:03:47 -0400,24.68773,46.72185
Bangkok,2,2010-05-18 00:58:07 -0400,2010-05-18 00:58:07 -0400,13.75398,100.50144
Ban Wat Sala Daeng,1,2010-05-18 00:58:07 -0400,2010-05-18 00:58:07 -0400,13.75103,100.35133
Mangalore,2,2010-05-22 08:43:34 -0400,2010-05-22 08:43:34 -0400,12.91723,74.85603
Guatemala City,1,2010-05-28 03:45:10 -0400,2010-05-28 03:45:10 -0400,14.64072,-90.51327
Guayaquil,1,2010-05-29 10:52:38 -0400,2010-05-29 10:52:38 -0400,-2.20584,-79.90795
Los Ríos,1,2010-05-29 10:52:38 -0400,2010-05-29 10:52:38 -0400,18.52131,-71.59106
Hacienda Guayas,1,2010-05-29 10:52:38 -0400,2010-05-29 10:52:38 -0400,-1.31667,-79.86667
África,1,2010-06-13 20:08:51 -0400,2010-06-13 20:08:51 -0400,-5.74057,-35.21173
Santiago,2,2010-12-14 13:43:55 -0500,2010-12-29 15:23:57 -0500,-33.45694,-70.64827
Nae-dong,1,2010-12-20 02:15:06 -0500,2010-12-20 02:15:06 -0500,34.50139,126.89611
Cheonan,1,2010-12-20 02:15:06 -0500,2010-12-20 02:15:06 -0500,36.8065,127.1522
Korea,1,2010-12-20 02:15:06 -0500,2010-12-20 02:15:06 -0500,37.94203,-83.47852
Hong Kong,2,2010-12-21 06:09:11 -0500,2010-12-21 06:09:11 -0500,22.28552,114.15769
Shanghai,1,2010-12-21 06:09:11 -0500,2010-12-21 06:09:11 -0500,31.22222,121.45806
Tbilisi,1,2010-12-23 14:26:15 -0500,2010-12-23 14:26:15 -0500,41.69411,44.83368
San Juan,1,2010-12-24 13:59:47 -0500,2010-12-24 13:59:47 -0500,-31.5375,-68.53639
Caribbean Key,1,2010-12-24 13:59:47 -0500,2010-12-24 13:59:47 -0500,26.40008,-80.07226
Río Piedras,1,2010-12-24 13:59:47 -0500,2010-12-24 13:59:47 -0500,-25.31333,-64.91022
Juvenat,1,2010-12-24 13:59:47 -0500,2010-12-24 13:59:47 -0500,18.52222,-72.3
Mahdia,1,2010-12-26 06:02:25 -0500,2010-12-26 06:02:25 -0500,35.50472,11.06222
Okinawa,1,2010-12-28 08:58:27 -0500,2010-12-28 08:58:27 -0500,26.33583,127.80139
Mumbai,1,2010-12-30 16:44:29 -0500,2010-12-30 16:44:29 -0500,19.07283,72.88261
Luanda,1,2010-12-31 03:46:44 -0500,2010-12-31 03:46:44 -0500,-8.83682,13.23432
Maputo,1,2010-12-31 03:46:44 -0500,2010-12-31 03:46:44 -0500,-25.96553,32.58322
Panguila,1,2010-12-31 03:46:44 -0500,2010-12-31 03:46:44 -0500,-8.73183,13.43734
Timor,1,2010-12-31 03:46:44 -0500,2010-12-31 03:46:44 -0500,-7.06401,15.41658
Moscow,1,2010-12-31 02:27:04 -0500,2010-12-31 02:27:04 -0500,55.75222,37.61556
Skopje,1,2010-12-31 02:27:04 -0500,2010-12-31 02:27:04 -0500,41.99646,21.43141
Baoding,1,2010-10-22 10:15:13 -0400,2010-10-22 10:15:13 -0400,38.85111,115.49028
Jakarta,1,2010-10-28 19:55:59 -0400,2010-10-28 19:55:59 -0400,-6.21462,106.84513
