organizations,count,first_date,last_date,lat,lon
UN,39,2010-01-13 11:19:07 -0500,2010-01-13 11:19:07 -0500,,
Facebook,2,2010-01-13 11:19:07 -0500,2010-01-13 11:19:07 -0500,,
Catholic Relief,1,2010-01-13 11:19:07 -0500,2010-01-13 11:19:07 -0500,,
Massachusetts &amp; Canada,1,2010-01-13 11:19:07 -0500,2010-01-13 11:19:07 -0500,,
Santo Domingo,3,2010-01-13 16:24:56 -0500,2010-01-13 16:24:56 -0500,,
Mera Muñoz &amp; Fondeur,1,2010-01-13 16:24:56 -0500,2010-01-13 16:24:56 -0500,,
Luna del Caribe,1,2010-01-13 16:24:56 -0500,2010-01-13 16:24:56 -0500,,
Trilogy International Partners of Seattle,1,2010-01-13 16:24:56 -0500,2010-01-13 16:24:56 -0500,,
Primera Hora,1,2010-01-14 07:47:15 -0500,2010-01-14 07:47:15 -0500,,
El Nuevo Dia,1,2010-01-14 07:47:15 -0500,2010-01-14 07:47:15 -0500,,
Réseau Citadelle,9,2010-01-14 07:37:40 -0500,2010-02-10 14:42:20 -0500,,
Le Réseau Citadelle,1,2010-01-14 07:37:40 -0500,2010-01-14 07:37:40 -0500,,
Carrefour,14,2010-01-14 07:37:40 -0500,2010-01-28 10:45:40 -0500,,
NGOs,1,2010-01-14 12:12:09 -0500,2010-01-14 12:12:09 -0500,,
Silicon Caribe,1,2010-01-14 12:12:09 -0500,2010-01-14 12:12:09 -0500,,
Long Bench,1,2010-01-14 12:12:09 -0500,2010-01-14 12:12:09 -0500,,
T&amp;T,1,2010-01-14 12:12:09 -0500,2010-01-14 12:12:09 -0500,,
YMCA,1,2010-01-14 12:12:09 -0500,2010-01-14 12:12:09 -0500,,
Emergency Operations Commission,1,2010-01-14 14:45:40 -0500,2010-01-14 14:45:40 -0500,,
Dominican Institute of Telecommunications,1,2010-01-14 14:45:40 -0500,2010-01-14 14:45:40 -0500,,
Indotel,1,2010-01-14 14:45:40 -0500,2010-01-14 14:45:40 -0500,,
Dominican Red Cross,1,2010-01-14 14:45:40 -0500,2010-01-14 14:45:40 -0500,,
International Red Cross,1,2010-01-14 14:45:40 -0500,2010-01-14 14:45:40 -0500,,
Charlotte Rampling,1,2010-01-14 19:22:52 -0500,2010-01-14 19:22:52 -0500,,
Civil Court,1,2010-01-15 08:40:35 -0500,2010-01-15 08:40:35 -0500,,
Parliament,2,2010-01-15 08:40:35 -0500,2010-01-29 09:55:05 -0500,,
Ministry of Feminine Condition,1,2010-01-15 08:40:35 -0500,2010-01-15 08:40:35 -0500,,
Espas Ayisyen Toulouse,1,2010-01-15 08:40:35 -0500,2010-01-15 08:40:35 -0500,,
International Committe of the Red Cross,1,2010-01-15 05:24:48 -0500,2010-01-15 05:24:48 -0500,,
New York Times,2,2010-01-15 05:24:48 -0500,2010-01-17 13:46:59 -0500,,
CNN,3,2010-01-15 05:24:48 -0500,2010-01-28 10:45:40 -0500,,
Google,1,2010-01-15 05:24:48 -0500,2010-01-15 05:24:48 -0500,,
Facebook Group EARTHQUAKE HAITI,1,2010-01-15 05:24:48 -0500,2010-01-15 05:24:48 -0500,,
PPL,1,2010-01-15 05:24:48 -0500,2010-01-15 05:24:48 -0500,,
Electricite d'Haiti,1,2010-01-15 17:34:37 -0500,2010-01-15 17:34:37 -0500,,
