people,count,first_date,last_date,lat,lon
Mohammed Sergie,7,2013-01-02 03:04:41 -0500,2013-01-02 17:49:08 -0500,,
Yusef,1,2013-01-02 03:04:41 -0500,2013-01-02 03:04:41 -0500,,
Abu Furat,7,2013-01-02 03:04:41 -0500,2013-01-02 03:04:41 -0500,,
Darth Nader,1,2013-01-02 03:04:41 -0500,2013-01-02 03:04:41 -0500,,
Assad,24,2013-01-02 03:04:41 -0500,2013-09-04 15:45:48 -0400,,
Bashar,4,2013-01-02 03:04:41 -0500,2013-01-02 03:04:41 -0500,,
Adnan Arour,1,2013-01-02 03:04:41 -0500,2013-01-02 03:04:41 -0500,,
Allahu Akbar,3,2013-01-02 03:04:41 -0500,2013-01-02 03:04:41 -0500,,
Yassin al-Haj Saleh,1,2013-01-02 03:04:41 -0500,2013-01-02 03:04:41 -0500,,
Rafiq Lutf,5,2013-01-02 03:04:41 -0500,2013-01-02 03:04:41 -0500,,
Baba Amr,2,2013-01-02 03:04:41 -0500,2013-01-02 03:04:41 -0500,,
Ali Othman,1,2013-01-02 03:04:41 -0500,2013-01-02 03:04:41 -0500,,
Maaret Misreen,1,2013-01-02 17:49:08 -0500,2013-01-02 17:49:08 -0500,,
Omar Abu Al Huda,10,2013-01-02 17:49:08 -0500,2013-01-02 17:49:08 -0500,,
Mouayad Al Ghafeer,2,2013-01-02 17:49:08 -0500,2013-01-02 17:49:08 -0500,,
Abdullah Allawi,2,2013-01-02 17:49:08 -0500,2013-01-02 17:49:08 -0500,,
Bashar al Assad,3,2013-01-04 04:13:00 -0500,2013-01-04 04:13:00 -0500,,
Lakhdar Brahimi,2,2013-01-04 04:13:00 -0500,2013-01-04 04:13:00 -0500,,
Sarina,1,2013-01-04 04:13:00 -0500,2013-01-04 04:13:00 -0500,,
Rafif Jouejati,1,2013-01-04 04:13:00 -0500,2013-01-04 04:13:00 -0500,,
Sakhr,1,2013-01-04 04:13:00 -0500,2013-01-04 04:13:00 -0500,,
Michel Kilo,1,2013-01-04 05:19:10 -0500,2013-01-04 05:19:10 -0500,,
Bashar Al Assad,50,2013-01-04 05:19:10 -0500,2013-08-21 03:03:11 -0400,,
Michael Kilo,1,2013-01-04 05:19:10 -0500,2013-01-04 05:19:10 -0500,,
Obama,11,2013-01-04 05:19:10 -0500,2013-09-04 15:45:48 -0400,,
Loubna Mrie,7,2013-01-04 05:13:07 -0500,2013-01-04 05:13:07 -0500,,
Basma,1,2013-01-04 05:13:07 -0500,2013-01-04 05:13:07 -0500,,
Hafez Al Assad,4,2013-01-04 05:13:07 -0500,2013-03-04 14:01:03 -0500,,
Moaz al Khatib,1,2013-01-04 05:13:07 -0500,2013-01-04 05:13:07 -0500,,
Bashar al-Assad,11,2013-01-07 04:46:03 -0500,2013-01-09 11:01:21 -0500,,
Douma,2,2013-01-07 04:46:03 -0500,2013-08-21 03:03:11 -0400,,
Ahmed bin Rashid bin Saeed,1,2013-01-07 17:31:31 -0500,2013-01-07 17:31:31 -0500,,
Abdullah,1,2013-01-07 17:31:31 -0500,2013-01-07 17:31:31 -0500,,
Susan Rice,1,2013-01-07 17:31:31 -0500,2013-01-07 17:31:31 -0500,,
Karl Sharro,2,2013-01-07 17:31:31 -0500,2013-10-13 10:13:19 -0400,,
Dan Murphy,1,2013-01-07 17:31:31 -0500,2013-01-07 17:31:31 -0500,,
Dalia Ezzat,1,2013-01-07 17:31:31 -0500,2013-01-07 17:31:31 -0500,,
Ruslan,1,2013-01-07 17:31:31 -0500,2013-01-07 17:31:31 -0500,,
Al Hiffa,1,2013-01-08 05:26:53 -0500,2013-01-08 05:26:53 -0500,,
Jihad Makdissi,5,2013-01-08 05:26:53 -0500,2013-01-08 05:26:53 -0500,,
Rami Jarrah,4,2013-01-08 05:26:53 -0500,2013-01-08 05:26:53 -0500,,
Adel,9,2013-01-08 05:34:17 -0500,2013-01-08 05:34:17 -0500,,
Ahmad,15,2013-01-08 05:34:17 -0500,2013-01-08 05:34:17 -0500,,
Ahmed,1,2013-01-08 05:34:17 -0500,2013-01-08 05:34:17 -0500,,
Ali Saeed,1,2013-01-08 05:34:17 -0500,2013-01-08 05:34:17 -0500,,
Ibrahim Haidar,1,2013-01-08 05:34:17 -0500,2013-01-08 05:34:17 -0500,,
Idlib,1,2013-01-10 03:09:37 -0500,2013-01-10 03:09:37 -0500,,
Allah,1,2013-01-10 03:09:37 -0500,2013-01-10 03:09:37 -0500,,
Taftanaz,1,2013-01-10 03:09:37 -0500,2013-01-10 03:09:37 -0500,,
Binnish,1,2013-01-10 03:09:37 -0500,2013-01-10 03:09:37 -0500,,
Mike Blacktoviche,1,2013-01-10 03:09:37 -0500,2013-01-10 03:09:37 -0500,,
Mohammed,2,2013-01-09 11:01:21 -0500,2013-01-09 11:01:21 -0500,,
Umyara,1,2013-01-09 11:01:21 -0500,2013-01-09 11:01:21 -0500,,
Bessma Momani,2,2013-01-11 04:22:29 -0500,2013-01-11 04:22:29 -0500,,
Jabhat al-Nusra,2,2013-01-11 04:22:29 -0500,2013-01-25 15:25:14 -0500,,
Saddam Hussein,1,2013-01-11 04:22:29 -0500,2013-01-11 04:22:29 -0500,,
Subhi Hadidi,3,2013-01-11 04:01:16 -0500,2013-01-11 04:01:16 -0500,,
Samar Yazbek,2,2013-01-11 04:01:16 -0500,2013-01-11 04:01:16 -0500,,
Asaad Abu Khalil,1,2013-01-11 04:01:16 -0500,2013-01-11 04:01:16 -0500,,
Abu Skandar,5,2013-01-11 13:58:56 -0500,2013-01-11 13:58:56 -0500,,
Al Ghassanieh,1,2013-01-11 13:58:56 -0500,2013-01-11 13:58:56 -0500,,
Jabal Al Akrad,1,2013-01-11 13:58:56 -0500,2013-01-11 13:58:56 -0500,,
Abu Ahmad,2,2013-01-11 13:58:56 -0500,2013-01-11 13:58:56 -0500,,
Bashar Al-Assad,12,2013-01-13 05:42:42 -0500,2013-12-24 16:03:33 -0500,,
El Teneen,1,2013-01-13 05:42:42 -0500,2013-01-13 05:42:42 -0500,,
Bashar Assad,2,2013-01-13 05:42:42 -0500,2013-01-13 05:42:42 -0500,,
