cities,count,first_date,last_date,lat,lon
Moscow,2,2013-11-03 18:21:00 -0500,2014-02-11 16:21:47 -0500,55.75222,37.61556
Varlamovka,1,2013-11-03 18:21:00 -0500,2013-11-03 18:21:00 -0500,48.59361,43.80917
Sochi,17,2013-12-24 02:01:30 -0500,2014-01-29 13:56:00 -0500,43.59917,39.72569
Volgograd,1,2014-01-17 20:45:43 -0500,2014-01-17 20:45:43 -0500,48.71939,44.50184
Beirut,1,2014-02-11 12:23:18 -0500,2014-02-11 12:23:18 -0500,33.88894,35.49442
Brest,1,2014-02-11 16:21:47 -0500,2014-02-11 16:21:47 -0500,52.09755,23.68775
Saint Petersburg,1,2014-02-11 16:21:47 -0500,2014-02-11 16:21:47 -0500,59.93863,30.31413
Sōchi,1,2014-02-14 16:05:47 -0500,2014-02-14 16:05:47 -0500,34.45,136.65
Mahdia,1,2014-02-16 17:39:52 -0500,2014-02-16 17:39:52 -0500,35.50472,11.06222
Kiev,1,2014-02-18 18:50:36 -0500,2014-02-18 18:50:36 -0500,50.45466,30.5238
Manila,1,2014-02-24 13:04:15 -0500,2014-02-24 13:04:15 -0500,14.6042,120.9822
