cities,count,first_date,last_date,lat,lon
Johannesburg,5,2010-07-01 03:18:24 -0400,2010-07-01 03:18:24 -0400,-26.20227,28.04363
Accra,1,2010-07-01 03:18:24 -0400,2010-07-01 03:18:24 -0400,5.55602,-0.1969
Montevideo,1,2010-07-01 03:18:24 -0400,2010-07-01 03:18:24 -0400,-34.90328,-56.18816
Buenos Aires,2,2010-07-02 06:25:16 -0400,2010-06-10 10:59:58 -0400,-34.61315,-58.37723
Flamengo,1,2010-07-02 06:25:16 -0400,2010-07-02 06:25:16 -0400,-6.26083,-39.75972
Mahdia,7,2010-07-02 08:55:48 -0400,2010-07-06 06:41:37 -0400,35.50472,11.06222
Yangon,1,2010-07-04 08:58:30 -0400,2010-07-04 08:58:30 -0400,16.80528,96.15611
Oberhausen,1,2010-07-07 18:02:44 -0400,2010-07-07 18:02:44 -0400,51.47311,6.88074
Paris,2,2010-07-07 18:02:44 -0400,2010-07-07 18:02:44 -0400,48.85341,2.3488
Dhubai,1,2010-07-07 18:02:44 -0400,2010-07-07 18:02:44 -0400,27.64324,78.28848
Belgrade,1,2010-07-11 09:29:30 -0400,2010-07-11 09:29:30 -0400,44.80401,20.46513
Barcelona,1,2010-07-11 17:58:26 -0400,2010-07-11 17:58:26 -0400,41.38879,2.15899
Iniesta,1,2010-07-11 17:58:26 -0400,2010-07-11 17:58:26 -0400,39.43333,-1.75
Pretoria,3,2010-04-17 11:07:11 -0400,2010-05-27 13:03:50 -0400,-25.74486,28.18783
Gaza,1,2010-05-09 07:50:31 -0400,2010-05-09 07:50:31 -0400,31.5,34.46667
Beirut,2,2010-05-18 11:51:13 -0400,2010-05-18 11:51:13 -0400,33.88894,35.49442
Cabinda,1,2010-05-18 15:22:10 -0400,2010-05-18 15:22:10 -0400,-5.55,12.2
Mpumalanga,1,2010-05-21 12:35:40 -0400,2010-05-21 12:35:40 -0400,-29.81292,30.63646
Polokwane,1,2010-05-21 12:35:40 -0400,2010-05-21 12:35:40 -0400,-23.90448,29.46885
Soweto,2,2010-05-21 12:35:40 -0400,2010-06-16 11:08:35 -0400,-26.26781,27.85849
Korea,2,2010-05-21 12:35:40 -0400,2010-06-23 00:43:47 -0400,37.94203,-83.47852
Nelspruit,1,2010-05-21 12:35:40 -0400,2010-05-21 12:35:40 -0400,-25.47448,30.97033
Durban,2,2010-05-21 12:35:40 -0400,2010-05-21 12:35:40 -0400,-29.8579,31.0292
Cape Town,1,2010-05-21 12:35:40 -0400,2010-05-21 12:35:40 -0400,-33.92584,18.42322
Zanzibar,1,2010-05-21 12:20:40 -0400,2010-05-21 12:20:40 -0400,-6.16394,39.19793
Mombasa,1,2010-05-21 12:20:40 -0400,2010-05-21 12:20:40 -0400,-4.05466,39.66359
Darmstadt,1,2010-05-24 11:06:28 -0400,2010-05-24 11:06:28 -0400,49.87167,8.65027
Milan,1,2010-05-24 11:06:28 -0400,2010-05-24 11:06:28 -0400,35.91979,-88.75895
Grahamstown,1,2010-05-26 16:54:35 -0400,2010-05-26 16:54:35 -0400,-33.30422,26.53276
Kulula,1,2010-05-27 13:03:50 -0400,2010-05-27 13:03:50 -0400,-5.30571,27.15702
Dar es Salaam,1,2010-06-03 14:14:40 -0400,2010-06-03 14:14:40 -0400,-6.82349,39.26951
Seoul,1,2010-06-09 00:46:22 -0400,2010-06-09 00:46:22 -0400,37.566,126.9784
Riyadh,1,2010-06-11 09:32:09 -0400,2010-06-11 09:32:09 -0400,24.68773,46.72185
Moquegua,1,2010-06-11 14:24:05 -0400,2010-06-11 14:24:05 -0400,-17.19832,-70.93567
Ayacucho,1,2010-06-11 14:24:05 -0400,2010-06-11 14:24:05 -0400,-13.15878,-74.22321
África,2,2010-06-13 20:08:51 -0400,2010-06-17 19:59:37 -0400,20.13869,-97.76789
Atlanta,1,2010-06-14 13:47:09 -0400,2010-06-14 13:47:09 -0400,33.749,-84.38798
Ubon Ratchathani,1,2010-06-22 09:15:24 -0400,2010-06-22 09:15:24 -0400,15.23844,104.84866
Ḏungah,1,2010-06-23 06:58:12 -0400,2010-06-23 06:58:12 -0400,33.59366,67.35086
Amazônia,1,2010-06-23 06:58:12 -0400,2010-06-23 06:58:12 -0400,-12.16667,-39.33333
Tokyo,1,2010-06-28 09:25:14 -0400,2010-06-28 09:25:14 -0400,35.6895,139.69171
Madrid,1,2010-06-29 07:29:06 -0400,2010-06-29 07:29:06 -0400,40.4165,-3.70256
