places,count,first_date,last_date,lat,lon
Russian Federation,49,2010-07-31 21:49:43 -0400,2010-08-18 18:56:28 -0400,60.0,100.0
United States,1,2010-07-31 21:49:43 -0400,2010-07-31 21:49:43 -0400,39.76,-98.5
Kulebaki,2,2010-07-31 21:49:43 -0400,2010-07-31 21:49:43 -0400,55.41333,42.5325
Vyksa,2,2010-07-31 21:49:43 -0400,2010-07-31 21:49:43 -0400,55.3175,42.17444
Belgorod,2,2010-07-31 21:49:43 -0400,2010-07-31 21:49:43 -0400,50.61074,36.58015
Moscow,32,2010-07-31 21:49:43 -0400,2010-08-18 18:56:28 -0400,55.75222,37.61556
Nizhniy Novgorod,1,2010-07-31 21:49:43 -0400,2010-07-31 21:49:43 -0400,56.32867,44.00205
Verkhnyaya Vereya,1,2010-07-31 21:49:43 -0400,2010-07-31 21:49:43 -0400,55.2303,42.1049
Borkovka,4,2010-07-31 21:49:43 -0400,2010-08-10 18:50:29 -0400,54.23333,49.15
Tamboles,2,2010-07-31 21:49:43 -0400,2010-07-31 21:49:43 -0400,55.2933,42.0467
Chechenskaya Respublika,1,2010-07-31 21:49:43 -0400,2010-07-31 21:49:43 -0400,43.25,45.83333
Kriusha,2,2010-07-31 21:49:43 -0400,2010-07-31 21:49:43 -0400,53.21406,35.98794
Ryazan’,1,2010-07-31 21:49:43 -0400,2010-07-31 21:49:43 -0400,54.6269,39.6916
Lujj Khayshah,1,2010-07-31 21:49:43 -0400,2010-07-31 21:49:43 -0400,16.03392,43.37699
Myrnyy,1,2010-07-31 21:49:43 -0400,2010-07-31 21:49:43 -0400,45.30788,33.03501
Nagorno-Karabakh [provisional],1,2010-07-31 21:49:43 -0400,2010-07-31 21:49:43 -0400,40.0,46.58333
Republic of Kenya,1,2010-08-03 18:05:12 -0400,2010-08-03 18:05:12 -0400,1.0,38.0
Republic of Haiti,1,2010-08-03 18:05:12 -0400,2010-08-03 18:05:12 -0400,19.0,-72.41667
Republic of Chile,1,2010-08-03 18:05:12 -0400,2010-08-03 18:05:12 -0400,-30.0,-71.0
Kyrgyz Republic,2,2010-08-03 18:05:12 -0400,2010-08-10 18:50:29 -0400,41.5,75.0
Stockholm,1,2010-08-10 18:50:29 -0400,2010-08-10 18:50:29 -0400,59.33258,18.0649
Beloomut,1,2010-08-18 18:56:28 -0400,2010-08-18 18:56:28 -0400,54.94478,39.33941
Siberia,2,2010-08-18 18:56:28 -0400,2010-08-18 18:56:28 -0400,43.58404,10.55334
Central Asia,1,2010-08-18 18:56:28 -0400,2010-08-18 18:56:28 -0400,43.00465,71.71875
Yuzhnyy,1,2010-08-20 10:14:22 -0400,2010-08-20 10:14:22 -0400,46.6541,38.97205
Kremlin,1,2010-08-20 17:53:40 -0400,2010-08-20 17:53:40 -0400,36.54725,-97.83145
Cherskiy,1,2010-08-29 20:50:39 -0400,2010-08-29 20:50:39 -0400,68.75325,161.33197
Voronezh,1,2010-09-06 18:54:59 -0400,2010-09-06 18:54:59 -0400,51.67204,39.1843
Vladivostok,1,2010-09-06 18:54:59 -0400,2010-09-06 18:54:59 -0400,43.10562,131.87353
