cities,count,first_date,last_date,lat,lon
Warap,1,2010-04-12 14:24:14 -0400,2010-04-12 14:24:14 -0400,-2.8717,132.5332
Kololo,1,2010-04-12 14:24:14 -0400,2010-04-12 14:24:14 -0400,12.65,-2.2
South,1,2010-04-15 14:12:14 -0400,2010-04-15 14:12:14 -0400,37.32922,-86.3647
Khartoum,3,2010-04-15 14:12:14 -0400,2010-04-15 14:12:14 -0400,15.55177,32.53241
Mahdia,2,2010-04-15 14:12:14 -0400,2010-04-22 12:18:09 -0400,35.50472,11.06222
Torit,1,2010-04-16 09:30:06 -0400,2010-04-16 09:30:06 -0400,4.41177,32.57046
Darfur,1,2010-04-16 09:30:06 -0400,2010-04-16 09:30:06 -0400,44.05135,-94.83804
Juba,1,2010-04-29 00:13:39 -0400,2010-04-29 00:13:39 -0400,4.85165,31.58247
Abyei,1,2010-05-03 13:33:03 -0400,2010-05-03 13:33:03 -0400,8.57097,28.6586
