organizations,count,first_date,last_date,lat,lon
Pashtun Awami National Party,1,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
ANP,2,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
PPPP,1,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
PPP,2,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Pakistan Muslim League,2,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Baloch Liberation Army,1,2013-04-17 13:58:12 -0400,2013-04-17 13:58:12 -0400,,
Election Commission,4,2013-04-17 17:04:03 -0400,2013-04-17 17:04:03 -0400,,
Ahmeddiya Times,1,2013-04-25 13:51:56 -0400,2013-04-25 13:51:56 -0400,,
PTI,16,2013-04-25 13:51:56 -0400,2013-05-08 18:48:01 -0400,,
Facebook,8,2013-05-02 16:28:01 -0400,2013-05-09 12:32:48 -0400,,
British Council,1,2013-05-02 16:28:01 -0400,2013-05-02 16:28:01 -0400,,
Express Tribune,2,2013-05-02 16:28:01 -0400,2013-05-02 16:28:01 -0400,,
Muslim,1,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Sovereign Legislature,1,2013-05-05 17:31:21 -0400,2013-05-05 17:31:21 -0400,,
Shaukat Khanum Memorial Hospital,1,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,,
PML-N,2,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,,
Pakistan People's Party,1,2013-05-08 18:48:01 -0400,2013-05-08 18:48:01 -0400,,
Female Election Commission,1,2013-05-12 16:21:50 -0400,2013-05-12 16:21:50 -0400,,
Army,1,2013-05-12 16:21:50 -0400,2013-05-12 16:21:50 -0400,,
EU,1,2013-05-12 16:21:50 -0400,2013-05-12 16:21:50 -0400,,
