organizations,count,first_date,last_date,lat,lon
Interior Ministry,6,2012-11-10 11:50:37 -0500,2013-08-06 08:50:23 -0400,,
Riyadh Criminal Court,8,2012-11-24 11:51:18 -0500,2012-12-08 21:24:16 -0500,,
Bureau of Investigation and Public Prosecution,1,2012-12-01 12:18:56 -0500,2012-12-01 12:18:56 -0500,,
interior ministry,1,2012-12-08 21:24:16 -0500,2012-12-08 21:24:16 -0500,,
Council of Ulema,1,2012-12-08 21:24:16 -0500,2012-12-08 21:24:16 -0500,,
Saudi Civil and Political Rights Association Suleiman al-Rashudi,1,2012-12-15 13:40:49 -0500,2012-12-15 13:40:49 -0500,,
Bureau of Public Prosecution,2,2012-12-15 13:40:49 -0500,2012-12-15 13:40:49 -0500,,
Bureau,1,2012-12-15 13:40:49 -0500,2012-12-15 13:40:49 -0500,,
Saudi Civil and Political Rights and Association,1,2012-12-29 12:56:02 -0500,2012-12-29 12:56:02 -0500,,
Saudi Civil and Political Rights Association,12,2012-09-01 12:18:32 -0400,2013-04-24 16:35:42 -0400,,
Sharia,1,2013-01-13 05:31:53 -0500,2013-01-13 05:31:53 -0500,,
Saudi Political and Civil Rights Association,1,2013-02-20 12:42:46 -0500,2013-02-20 12:42:46 -0500,,
Criminal Court,1,2013-02-20 12:42:46 -0500,2013-02-20 12:42:46 -0500,,
ACPRA,8,2013-02-20 12:42:46 -0500,2013-04-24 16:35:42 -0400,,
Adala Center for Human Rights,1,2013-08-10 05:50:05 -0400,2013-08-10 05:50:05 -0400,,
Ministry of Social Affairs,2,2013-08-10 05:50:05 -0400,2013-08-10 05:50:05 -0400,,
Human Rights Commission,1,2013-08-10 05:50:05 -0400,2013-08-10 05:50:05 -0400,,
Al-Madina,1,2013-08-10 05:50:05 -0400,2013-08-10 05:50:05 -0400,,
United Nation,1,2013-08-10 05:50:05 -0400,2013-08-10 05:50:05 -0400,,
Universal Periodic Review,1,2013-08-10 05:50:05 -0400,2013-08-10 05:50:05 -0400,,
Al-Hayat,1,2013-08-10 05:50:05 -0400,2013-08-10 05:50:05 -0400,,
Riyadh Bureau,1,2013-08-10 05:50:05 -0400,2013-08-10 05:50:05 -0400,,
MOSA,2,2013-08-10 05:50:05 -0400,2013-08-10 05:50:05 -0400,,
Universal Declaration of Human Rights,1,2013-08-10 05:50:05 -0400,2013-08-10 05:50:05 -0400,,
Islamic Sharia,1,2013-08-10 05:50:05 -0400,2013-08-10 05:50:05 -0400,,
The Union for Human Rights,1,2013-08-10 05:50:05 -0400,2013-08-10 05:50:05 -0400,,
Saudi Civil and Political Right Association,1,2013-08-10 05:50:05 -0400,2013-08-10 05:50:05 -0400,,
Civil and Political Rights Association,2,2013-08-19 14:48:52 -0400,2013-08-19 14:48:52 -0400,,
Buraidah Criminal Court,2,2013-04-24 16:35:42 -0400,2013-04-24 16:35:42 -0400,,
Prosecution Bureau,2,2013-04-25 19:24:20 -0400,2013-04-25 19:24:20 -0400,,
Ministry of Interior,4,2013-04-25 19:24:20 -0400,2013-06-04 16:51:30 -0400,,
Supreme Court of Buraidah,1,2013-05-02 14:38:35 -0400,2013-05-02 14:38:35 -0400,,
Union for Human Rights

Mohammad Ayed Al-Otibi,1,2013-05-02 14:38:35 -0400,2013-05-02 14:38:35 -0400,,
Union for Human Rights,2,2013-05-02 14:38:35 -0400,2013-05-02 14:38:35 -0400,,
Amnesty International,1,2013-05-02 14:38:35 -0400,2013-05-02 14:38:35 -0400,,
Saudi Ministry of Interior,1,2013-06-04 16:51:30 -0400,2013-06-04 16:51:30 -0400,,
Human Rights Council,1,2013-06-04 16:51:30 -0400,2013-06-04 16:51:30 -0400,,
Specialized Criminal Court,1,2013-06-04 16:51:30 -0400,2013-06-04 16:51:30 -0400,,
Gulf Center for Human Rights,1,2013-06-04 16:51:30 -0400,2013-06-04 16:51:30 -0400,,
Southern Police Station,1,2013-06-24 10:29:40 -0400,2013-06-24 10:29:40 -0400,,
