places,count,first_date,last_date,lat,lon
People’s Republic of China,3,2013-11-03 18:21:00 -0500,2013-11-03 18:21:00 -0500,35.0,105.0
Russian Federation,46,2013-11-03 18:21:00 -0500,2014-01-29 13:56:00 -0500,60.0,100.0
Moscow,5,2013-11-03 18:21:00 -0500,2014-02-11 16:21:47 -0500,55.75222,37.61556
Varlamovka,1,2013-11-03 18:21:00 -0500,2013-11-03 18:21:00 -0500,48.59361,43.80917
Europe,1,2013-12-24 02:01:30 -0500,2013-12-24 02:01:30 -0500,48.69096,9.14062
Republic of France,1,2013-12-24 02:01:30 -0500,2013-12-24 02:01:30 -0500,46.0,2.0
United Kingdom of Great Britain and Northern Ireland,2,2013-12-24 02:01:30 -0500,2014-01-22 16:50:43 -0500,54.75844,-2.69531
Canada,2,2013-12-24 02:01:30 -0500,2013-12-24 02:01:30 -0500,60.10867,-113.64258
United States,2,2013-12-24 02:01:30 -0500,2014-01-22 16:50:43 -0500,39.76,-98.5
Federal Republic of Germany,1,2013-12-24 02:01:30 -0500,2013-12-24 02:01:30 -0500,51.5,10.5
Sochi,54,2013-12-24 02:01:30 -0500,2014-01-29 13:56:00 -0500,43.59917,39.72569
Berlin,2,2013-12-24 02:01:30 -0500,2013-12-24 02:01:30 -0500,52.52437,13.41053
North Caucasus,3,2013-12-24 02:01:30 -0500,2013-12-24 02:01:30 -0500,42.94838,44.06616
London,1,2013-10-09 19:04:43 -0400,2013-10-09 19:04:43 -0400,51.50853,-0.12574
Beijing,1,2013-10-09 19:04:43 -0400,2013-10-09 19:04:43 -0400,39.9075,116.39723
European Union,1,2014-01-15 15:30:05 -0500,2014-01-15 15:30:05 -0500,50.83857,4.37599
Volgograd,4,2014-01-17 20:45:43 -0500,2014-01-17 20:45:43 -0500,48.71939,44.50184
Respublika Ingushetiya,1,2014-01-17 20:45:43 -0500,2014-01-17 20:45:43 -0500,43.16667,45.0
Tatarstan,1,2014-01-22 16:50:43 -0500,2014-01-22 16:50:43 -0500,55.33333,51.0
Okhotsk,1,2014-02-03 15:51:31 -0500,2014-02-03 15:51:31 -0500,59.362,143.21468
Vladivostok,1,2014-02-03 15:51:31 -0500,2014-02-03 15:51:31 -0500,43.10562,131.87353
Alaska,1,2014-02-03 15:51:31 -0500,2014-02-03 15:51:31 -0500,64.00028,-150.00028
Aleutian Islands,1,2014-02-03 15:51:31 -0500,2014-02-03 15:51:31 -0500,52.09694,-173.50056
Asia,1,2014-02-07 17:24:51 -0500,2014-02-07 17:24:51 -0500,29.84064,89.29688
Republic of Tajikistan,23,2014-02-07 17:24:51 -0500,2014-02-07 17:24:51 -0500,39.0,71.0
Republic of Uzbekistan,25,2014-02-07 17:24:51 -0500,2014-02-07 17:24:51 -0500,41.66667,63.83333
Bermuda,3,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,32.33022,-64.74003
Cayman Islands,1,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,19.5,-80.66667
Dominica,1,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,15.5,-61.33333
Jamaica,2,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,18.16667,-77.25
British Virgin Islands,1,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,18.5,-64.5
Anguilla,1,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,18.21667,-63.05
Republic of Trinidad and Tobago,3,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,11.0,-61.0
Caribbean,4,2014-02-07 21:02:27 -0500,2014-02-07 21:02:27 -0500,23.1168,-82.38859
Lebanon,11,2014-02-11 12:23:18 -0500,2014-02-11 12:23:18 -0500,33.83333,35.83333
Islamic Republic of Pakistan,3,2014-02-11 12:23:18 -0500,2014-02-11 12:23:18 -0500,30.0,70.0
Islamic Republic of Afghanistan,1,2014-02-11 12:23:18 -0500,2014-02-11 12:23:18 -0500,33.0,66.0
Islamic Republic of Iran,1,2014-02-11 12:23:18 -0500,2014-02-11 12:23:18 -0500,32.0,53.0
Tripoli,1,2014-02-11 12:23:18 -0500,2014-02-11 12:23:18 -0500,32.87519,13.18746
Beirut,4,2014-02-11 12:23:18 -0500,2014-02-11 12:23:18 -0500,33.88894,35.49442
Ras Asir,1,2014-02-11 12:23:18 -0500,2014-02-11 12:23:18 -0500,11.834,51.2868
Republic of Belarus,2,2014-02-11 16:21:47 -0500,2014-02-11 16:21:47 -0500,53.0,28.0
Brest,2,2014-02-11 16:21:47 -0500,2014-02-11 16:21:47 -0500,52.09755,23.68775
Saint Petersburg,2,2014-02-11 16:21:47 -0500,2014-02-11 16:21:47 -0500,59.93863,30.31413
Argentine Republic,1,2014-02-12 22:29:56 -0500,2014-02-12 22:29:56 -0500,-34.0,-64.0
Turkmenistan,6,2014-02-13 09:30:50 -0500,2014-02-13 09:30:50 -0500,39.75,59.66667
Ashgabat,1,2014-02-13 09:30:50 -0500,2014-02-13 09:30:50 -0500,37.95,58.38333
Republic of Korea,1,2014-02-16 06:44:10 -0500,2014-02-16 06:44:10 -0500,36.5,127.75
Republic of Kazakhstan,23,2014-02-14 16:05:47 -0500,2014-02-14 16:05:47 -0500,48.0,68.0
Japan,1,2014-02-14 16:05:47 -0500,2014-02-14 16:05:47 -0500,35.68536,139.75309
Sōchi,3,2014-02-14 16:05:47 -0500,2014-02-14 16:05:47 -0500,34.45,136.65
Togolese Republic,1,2014-02-16 17:39:52 -0500,2014-02-16 17:39:52 -0500,8.66667,1.08333
Mahdia,1,2014-02-16 17:39:52 -0500,2014-02-16 17:39:52 -0500,35.50472,11.06222
Ukraine,6,2014-02-18 18:50:36 -0500,2014-02-18 18:50:36 -0500,49.0,32.0
Kiev,6,2014-02-18 18:50:36 -0500,2014-02-18 18:50:36 -0500,50.45466,30.5238
Southeast Asia,1,2014-02-24 13:04:15 -0500,2014-02-24 13:04:15 -0500,12.38293,103.00781
Democratic Republic of Timor-Leste,4,2014-02-24 13:04:15 -0500,2014-02-24 13:04:15 -0500,-8.83333,125.75
Republic of the Philippines,4,2014-02-24 13:04:15 -0500,2014-02-24 13:04:15 -0500,13.0,122.0
Manila,1,2014-02-24 13:04:15 -0500,2014-02-24 13:04:15 -0500,14.6042,120.9822
