people,count,first_date,last_date,lat,lon
Timur Agirov,4,2013-12-09 22:19:20 -0500,2013-12-09 22:19:20 -0500,,
Putin,2,2013-12-09 22:19:20 -0500,2013-12-09 22:19:20 -0500,,
Sergey Ponomarev,12,2013-12-09 22:15:04 -0500,2013-12-11 09:00:46 -0500,,
Mari Bastashevski,5,2013-12-09 22:15:04 -0500,2013-12-09 22:15:04 -0500,,
Ali Suleymanov,10,2013-12-10 12:06:24 -0500,2013-12-10 12:06:24 -0500,,
Svetlana Anokhina,22,2013-12-10 12:06:24 -0500,2013-12-11 09:00:46 -0500,,
LJ,2,2013-12-10 12:06:24 -0500,2013-12-10 12:06:24 -0500,,
Rasul Kadiev,5,2013-12-11 05:14:34 -0500,2013-12-11 05:14:34 -0500,,
Borya Berger,1,2013-12-11 09:00:46 -0500,2013-12-11 09:00:46 -0500,,
Naila Dalgatova,3,2013-12-11 09:00:46 -0500,2013-12-11 09:00:46 -0500,,
Bruce Etling,1,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,,
Karina Alexanyan,1,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,,
John Kelly,1,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,,
Rob Faris,1,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,,
John Palfrey,1,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,,
Urs Gasser,1,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,,
Interkavkaz,1,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,,
Magomed Mutsolgov,3,2013-12-13 10:16:26 -0500,2013-12-14 13:22:45 -0500,,
Surkov,1,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,,
Kadyrov,1,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,,
Zalina Alubova,1,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,,
Shami Abdulaev,3,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,,
Nariman Gadzhiev,2,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,,
Diana Gamidovna Klimenkova,1,2013-12-13 10:16:26 -0500,2013-12-13 10:16:26 -0500,,
Zulikhan Magomadova,2,2013-12-14 10:57:00 -0500,2013-12-14 10:57:00 -0500,,
Gamid Gitinov,3,2013-12-14 10:57:00 -0500,2013-12-14 10:57:00 -0500,,
Instagram,3,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Arslan Khasavov,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Marat Mimigrov,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Leko Gudaev,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Ali,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Valeria Dzutceva,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Azamat Tseboev,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Jeanna Mammieva,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Ramzan Kadyrov,19,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Kaydrov,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Andrey Tselikov,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Vladimir Putin,2,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Ramazan Abdulatipov,4,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Lenin,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Yevkurov,2,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Yunus-Bel Evkurov,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Beslan Chechoev,3,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Instragram,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Inna,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Alexander Roxmistov,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Termezov,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Mukhtar Amirov,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Zakir,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Petersburg,1,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Arbi Tamaev,3,2013-12-14 13:22:45 -0500,2013-12-14 13:22:45 -0500,,
Gilani Lamaro,1,2013-12-14 13:23:02 -0500,2013-12-14 13:23:02 -0500,,
Mukhammed Yusupov,1,2013-12-14 13:23:02 -0500,2013-12-14 13:23:02 -0500,,
Abu-Umar Sakhabi,1,2013-12-14 13:23:02 -0500,2013-12-14 13:23:02 -0500,,
Astemir Shibzukho,1,2013-12-14 13:23:02 -0500,2013-12-14 13:23:02 -0500,,
Avraham Shmulevich,2,2013-12-14 13:23:02 -0500,2013-12-14 13:23:02 -0500,,
Ramazan Radzhabov,1,2013-12-14 13:23:02 -0500,2013-12-14 13:23:02 -0500,,
Mukhamed Avarski,1,2013-12-14 13:23:02 -0500,2013-12-14 13:23:02 -0500,,
