places,count,first_date,last_date,lat,lon
Taiwan,90,2014-01-15 19:40:15 -0500,2014-03-19 12:56:12 -0400,24.0,121.0
People’s Republic of China,58,2014-01-15 19:40:15 -0500,2014-03-19 12:56:12 -0400,35.0,105.0
Republic of France,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,46.0,2.0
Canada,1,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,60.10867,-113.64258
United States,3,2014-01-15 19:40:15 -0500,2014-01-15 19:40:15 -0500,39.76,-98.5
Japan,3,2014-01-15 19:40:15 -0500,2014-03-20 07:54:34 -0400,35.68536,139.75309
Beijing,8,2014-03-19 12:56:12 -0400,2014-03-19 12:56:12 -0400,39.9075,116.39723
Taipei,6,2014-03-19 12:56:12 -0400,2014-03-19 12:56:12 -0400,25.04776,121.53185
Taiwan Strait,1,2014-03-19 12:56:12 -0400,2014-03-19 12:56:12 -0400,24.0,119.0
United Kingdom of Great Britain and Northern Ireland,1,2014-03-20 07:54:34 -0400,2014-03-20 07:54:34 -0400,54.75844,-2.69531
Federal Republic of Germany,1,2014-03-20 07:54:34 -0400,2014-03-20 07:54:34 -0400,51.5,10.5
Kaohsiung,1,2014-03-22 12:32:03 -0400,2014-03-22 12:32:03 -0400,22.61626,120.31333
Hong Kong,23,2014-03-23 21:45:04 -0400,2014-03-31 04:50:01 -0400,22.28552,114.15769
Xinjiang Uygur Zizhiqu,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,42.56917,85.45611
Tibet Autonomous Region,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,32.0,90.0
Macau,1,2014-03-23 21:45:04 -0400,2014-03-23 21:45:04 -0400,22.20056,113.54611
New York City,1,2014-04-01 10:59:31 -0400,2014-04-01 10:59:31 -0400,40.71427,-74.00597
