places,count,first_date,last_date,lat,lon
Syrian Arab Republic,380,2013-01-02 03:04:41 -0500,2013-05-22 08:55:18 -0400,35.0,38.0
United States,33,2013-01-02 03:04:41 -0500,2013-09-04 15:45:48 -0400,39.76,-98.5
Aleppo,57,2013-01-02 03:04:41 -0500,2013-09-04 15:45:48 -0400,36.20124,37.16117
Latakia,12,2013-01-02 03:04:41 -0500,2013-01-09 11:01:21 -0500,35.53168,35.79011
Homs,2,2013-01-02 03:04:41 -0500,2013-01-02 03:04:41 -0500,34.72682,36.72339
Damascus,24,2013-01-02 17:49:08 -0500,2013-08-21 03:03:11 -0400,33.5102,36.29128
Idlib,15,2013-01-02 17:49:08 -0500,2013-01-02 17:49:08 -0500,35.93062,36.63393
Russian Federation,15,2013-01-04 04:13:00 -0500,2013-09-04 16:55:33 -0400,60.0,100.0
Paris,2,2013-01-04 05:19:10 -0500,2013-09-30 13:25:40 -0400,48.85341,2.3488
Republic of Turkey,10,2013-01-04 05:13:07 -0500,2013-09-04 15:45:48 -0400,39.0,35.0
Gaziantep,1,2013-01-04 05:13:07 -0500,2013-01-04 05:13:07 -0500,37.05944,37.3825
They-sous-Montfort,1,2013-01-04 05:13:07 -0500,2013-01-04 05:13:07 -0500,48.23136,5.98449
Yabrūd,1,2013-01-07 17:31:31 -0500,2013-01-07 17:31:31 -0500,33.96736,36.65741
Washington,2,2013-01-08 05:26:53 -0500,2013-01-08 05:26:53 -0500,47.50012,-120.50147
Beirut,5,2013-01-08 05:26:53 -0500,2013-11-19 13:58:09 -0500,33.88894,35.49442
Boustâne,1,2013-01-08 05:26:53 -0500,2013-01-08 05:26:53 -0500,33.09944,35.25639
Adel,1,2013-01-08 05:34:17 -0500,2013-01-08 05:34:17 -0500,31.13714,-83.42349
Binnish,1,2013-01-10 03:09:37 -0500,2013-01-10 03:09:37 -0500,35.95664,36.7138
Libya,1,2013-01-11 04:22:29 -0500,2013-01-11 04:22:29 -0500,28.0,17.0
Republic of Iraq,8,2013-01-11 04:22:29 -0500,2013-11-19 13:58:09 -0500,33.0,44.0
Lebanon,14,2013-01-11 04:22:29 -0500,2013-11-19 13:58:09 -0500,33.83333,35.83333
Afrin District,1,2013-01-11 13:58:56 -0500,2013-01-11 13:58:56 -0500,36.54891,36.79295
United Kingdom of Great Britain and Northern Ireland,6,2013-01-13 05:42:42 -0500,2013-12-24 16:03:33 -0500,54.75844,-2.69531
Orange County,1,2013-01-13 05:42:42 -0500,2013-01-13 05:42:42 -0500,33.67691,-117.77617
Newport Beach,1,2013-01-13 05:42:42 -0500,2013-01-13 05:42:42 -0500,33.61891,-117.92895
