people,count,first_date,last_date,lat,lon
Rafael Correa,23,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Paúl Mena Erazo,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Fernando Astudillo,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Ricardo Landivar,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Discurso de Correa,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Iván Andrés Muñoz,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Nicolas R. Muñoz,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Juan Martinez,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Luis Larrea,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
De Ripley,2,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Alianza País,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
María Paula Romo,4,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Juan Montalvo,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Estefani Espin,1,2010-09-30 17:54:39 -0400,2010-09-30 17:54:39 -0400,,
Correa,8,2010-10-01 00:23:20 -0400,2010-10-26 20:04:07 -0400,,
Esther Burgos,1,2010-10-01 20:06:56 -0400,2010-10-01 20:06:56 -0400,,
Erika Solis Tlachi,1,2010-10-01 20:06:56 -0400,2010-10-01 20:06:56 -0400,,
Rafael Correa 
Daniel Ochoa,11,2010-10-01 20:06:56 -0400,2010-10-01 20:06:56 -0400,,
Lucio Gutiérrez,5,2010-10-01 20:06:56 -0400,2010-10-01 20:06:56 -0400,,
Pablo Arciniegas,1,2010-10-01 20:06:56 -0400,2010-10-01 20:06:56 -0400,,
Luis Alberto Mendieta,2,2010-10-01 20:06:56 -0400,2010-10-26 20:04:07 -0400,,
Jorge Tapia,1,2010-10-01 20:06:56 -0400,2010-10-01 20:06:56 -0400,,
Gabo Díaz,1,2010-10-01 20:06:56 -0400,2010-10-01 20:06:56 -0400,,
Fausto Franco,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Juan Pablo Bolaños,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Vicente Guzman,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Daniel Ochoa,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Fatima Efigenia,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Pitoniza,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Pablo Escandon,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Gabriela Vivanco,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Romulo Lopez Cordero,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Dunia Ruiz Romero,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Patricio Aguilera,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Segundo Galarza,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Victor Vizcaino,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Juan Fernando Pacheco,1,2010-10-03 02:41:56 -0400,2010-10-03 02:41:56 -0400,,
Germán López,1,2010-10-06 13:44:37 -0400,2010-10-06 13:44:37 -0400,,
Claudia Cazañas,1,2010-10-11 13:50:30 -0400,2010-10-11 13:50:30 -0400,,
Luis Aníbal Martínez Vilañez,1,2010-10-26 20:04:07 -0400,2010-10-26 20:04:07 -0400,,
Anibal Martinez,2,2010-10-26 20:04:07 -0400,2010-10-26 20:04:07 -0400,,
Ecuafriki,1,2010-10-26 20:04:07 -0400,2010-10-26 20:04:07 -0400,,
Mario  Vargas Llosa,1,2010-10-26 20:04:07 -0400,2010-10-26 20:04:07 -0400,,
Sebastián Piñera,1,2010-10-26 20:04:07 -0400,2010-10-26 20:04:07 -0400,,
Lucio Gutierrez,1,2010-10-26 20:04:07 -0400,2010-10-26 20:04:07 -0400,,
Cristian Espinosa,1,2010-10-26 20:04:07 -0400,2010-10-26 20:04:07 -0400,,
Simon Schultz,1,2010-10-26 20:04:07 -0400,2010-10-26 20:04:07 -0400,,
Rodolfo Muñoz,1,2010-10-29 15:48:51 -0400,2010-10-29 15:48:51 -0400,,
