cities,count,first_date,last_date,lat,lon
West,2,2013-11-21 23:50:14 -0500,2014-02-09 18:40:54 -0500,31.80238,-97.09167
Brussels,1,2013-11-21 23:50:14 -0500,2013-11-21 23:50:14 -0500,50.85045,4.34878
Kiev,21,2013-11-21 23:50:14 -0500,2014-02-25 17:28:36 -0500,50.45466,30.5238
Belgorod,1,2013-11-21 23:50:14 -0500,2013-11-21 23:50:14 -0500,50.61074,36.58015
Eu,4,2013-11-25 18:41:57 -0500,2013-12-04 16:23:43 -0500,50.04606,1.42079
Vilnius,2,2013-11-29 12:47:41 -0500,2013-11-30 15:55:07 -0500,54.68916,25.2798
Qazyqurt,1,2013-12-02 03:10:56 -0500,2013-12-02 03:10:56 -0500,41.75979,69.38798
Khreshchatyk,1,2013-12-02 03:10:56 -0500,2013-12-02 03:10:56 -0500,51.63983,33.366
Moscow,11,2013-12-02 17:20:44 -0500,2014-02-25 20:30:17 -0500,55.75222,37.61556
Syracuse,1,2014-01-27 15:13:25 -0500,2014-01-27 15:13:25 -0500,43.04812,-76.14742
Berkutkin,1,2014-02-06 20:25:35 -0500,2014-02-06 20:25:35 -0500,51.86667,59.61667
Sochi,4,2014-02-18 18:50:36 -0500,2014-02-18 18:50:36 -0500,43.59917,39.72569
Uzhhorod,1,2014-02-20 12:30:44 -0500,2014-02-20 12:30:44 -0500,48.61667,22.3
Kharkiv,1,2014-02-22 15:50:13 -0500,2014-02-22 15:50:13 -0500,49.98081,36.25272
Korobkov,1,2014-03-01 17:09:40 -0500,2014-03-01 17:09:40 -0500,50.93333,44.25
Pushkin,1,2014-03-02 17:52:30 -0500,2014-03-02 17:52:30 -0500,59.71417,30.39642
Sevastopol,2,2014-03-05 00:22:32 -0500,2014-03-05 00:22:32 -0500,44.58883,33.5224
Amsterdam,1,2014-03-06 23:39:20 -0500,2014-03-06 23:39:20 -0500,52.37403,4.88969
Santa,1,2014-03-07 17:05:48 -0500,2014-03-07 17:05:48 -0500,17.486,120.4348
Rostov,1,2014-03-11 01:55:58 -0400,2014-03-11 01:55:58 -0400,57.1914,39.41394
Perm,1,2014-03-11 18:10:57 -0400,2014-03-11 18:10:57 -0400,58.01046,56.25017
Simferopol,1,2014-03-14 22:06:07 -0400,2014-03-14 22:06:07 -0400,44.95719,34.11079
Feodosiya,1,2014-03-14 22:06:07 -0400,2014-03-14 22:06:07 -0400,45.03677,35.37789
Groznyy,1,2014-03-16 13:36:23 -0400,2014-03-16 13:36:23 -0400,43.31195,45.68895
