people,count,first_date,last_date,lat,lon
Julio Costa Zambelli,1,2010-02-27 15:23:12 -0500,2010-02-27 15:23:12 -0500,,
Robinson Esparza,1,2010-02-27 15:23:12 -0500,2010-02-27 15:23:12 -0500,,
Pablo González Carcey,1,2010-02-27 15:23:12 -0500,2010-02-27 15:23:12 -0500,,
Daniela Alvarado,1,2010-02-27 15:23:12 -0500,2010-02-27 15:23:12 -0500,,
Claudio Olivares,1,2010-02-27 15:23:12 -0500,2010-02-27 15:23:12 -0500,,
Costanza Campos,1,2010-02-27 15:23:12 -0500,2010-02-27 15:23:12 -0500,,
Franciso Vivallo Sainz,1,2010-02-27 15:23:12 -0500,2010-02-27 15:23:12 -0500,,
Jonathan Munizaga,1,2010-02-27 21:23:20 -0500,2010-02-27 21:23:20 -0500,,
Netprox,1,2010-02-27 21:23:20 -0500,2010-02-27 21:23:20 -0500,,
Rafael Vial,1,2010-02-27 21:23:20 -0500,2010-02-27 21:23:20 -0500,,
Valdivia,5,2010-02-27 21:06:09 -0500,2010-02-27 21:06:09 -0500,,
Mauro Barrientos,1,2010-02-27 21:06:09 -0500,2010-02-27 21:06:09 -0500,,
Betsabé Sandoval,1,2010-02-27 21:06:09 -0500,2010-02-27 21:06:09 -0500,,
Nahra,1,2010-02-27 21:06:09 -0500,2010-02-27 21:06:09 -0500,,
Evelyn Arriagada,1,2010-02-27 21:06:09 -0500,2010-02-27 21:06:09 -0500,,
Daniela Contreras,1,2010-02-27 21:06:09 -0500,2010-02-27 21:06:09 -0500,,
Pancho Ballesteros,1,2010-02-27 21:06:09 -0500,2010-02-27 21:06:09 -0500,,
Castro,1,2010-02-28 06:14:51 -0500,2010-02-28 06:14:51 -0500,,
José Luis Tapia,2,2010-02-28 06:14:51 -0500,2010-02-28 06:14:51 -0500,,
Alejandro Tucki,2,2010-02-28 06:14:51 -0500,2010-02-28 06:14:51 -0500,,
Daniel Sovino,1,2010-02-28 06:14:51 -0500,2010-02-28 06:14:51 -0500,,
Cory Hunt,1,2010-02-28 19:29:11 -0500,2010-02-28 19:29:11 -0500,,
Felipe Vallejos,1,2010-02-28 19:29:11 -0500,2010-02-28 19:29:11 -0500,,
Pedro Huichalaf,2,2010-02-28 20:43:10 -0500,2010-02-28 20:43:10 -0500,,
Juan Fernández Island,7,2010-02-28 20:43:10 -0500,2010-02-28 20:43:10 -0500,,
Mauricio Almazan,1,2010-02-28 20:43:10 -0500,2010-02-28 20:43:10 -0500,,
Francisca Ulloa,1,2010-02-28 20:43:10 -0500,2010-02-28 20:43:10 -0500,,
Hector Zamora,2,2010-02-28 20:43:10 -0500,2010-02-28 20:43:10 -0500,,
