cities,count,first_date,last_date,lat,lon
Port Said,1,2012-06-24 10:29:45 -0400,2012-06-24 10:29:45 -0400,31.25654,32.28412
Cairo,15,2012-11-29 01:30:13 -0500,2013-08-14 16:29:29 -0400,30.06263,31.24967
Ismailia,1,2013-07-05 18:25:23 -0400,2013-07-05 18:25:23 -0400,30.60427,32.27225
Moscow,1,2013-07-09 00:25:55 -0400,2013-07-09 00:25:55 -0400,55.75222,37.61556
Madīnat an Naşr,7,2013-07-16 18:48:18 -0400,2013-08-14 17:07:05 -0400,30.06667,31.3
Al Manşūrah,1,2013-07-19 20:51:25 -0400,2013-07-19 20:51:25 -0400,31.03637,31.38069
Delga,2,2013-08-14 03:31:05 -0400,2013-08-14 16:29:29 -0400,13.14898,-1.14495
Al Minyā,1,2013-08-14 03:31:05 -0400,2013-08-14 03:31:05 -0400,28.10988,30.7503
Sohag,1,2013-08-14 16:29:29 -0400,2013-08-14 16:29:29 -0400,26.55695,31.69478
Hurghada,1,2013-08-18 19:06:57 -0400,2013-08-18 19:06:57 -0400,27.25738,33.81291
Alexandria,1,2013-06-30 11:44:21 -0400,2013-06-30 11:44:21 -0400,31.21564,29.95527
