places,count,first_date,last_date,lat,lon
United Kingdom of Great Britain and Northern Ireland,5,2008-08-23 13:14:15 -0400,2008-08-23 13:14:15 -0400,54.75844,-2.69531
State of Israel,215,2008-08-23 13:14:15 -0400,2010-06-02 16:57:17 -0400,31.5,34.75
Republic of Cyprus,5,2008-08-23 13:14:15 -0400,2008-08-23 13:14:15 -0400,35.0,33.0
United States,33,2008-08-23 13:14:15 -0400,2010-06-08 04:07:20 -0400,39.76,-98.5
Palestine,5,2008-08-23 13:14:15 -0400,2010-06-03 01:52:56 -0400,31.92157,35.20329
Gaza Strip,8,2008-08-23 13:14:15 -0400,2010-06-06 16:49:32 -0400,31.41667,34.33333
Gaza,147,2008-08-23 13:14:15 -0400,2010-06-02 16:57:17 -0400,31.5,34.46667
Munich,1,2008-08-23 13:14:15 -0400,2008-08-23 13:14:15 -0400,48.13743,11.57549
Rafaḩ,5,2008-08-23 13:14:15 -0400,2010-06-06 16:49:32 -0400,31.287,34.25952
Ireland,4,2010-05-28 03:41:09 -0400,2010-06-05 16:05:45 -0400,53.0,-8.0
Republic of Turkey,50,2010-05-28 03:41:09 -0400,2010-06-02 16:57:17 -0400,39.0,35.0
Hellenic Republic,2,2010-05-28 03:41:09 -0400,2010-05-28 03:41:09 -0400,39.0,22.0
Hashemite Kingdom of Jordan,5,2010-05-28 03:41:09 -0400,2010-06-02 09:26:05 -0400,31.0,36.0
Federal Republic of Germany,1,2010-05-28 03:41:09 -0400,2010-05-28 03:41:09 -0400,51.5,10.5
İstanbul,5,2010-05-28 03:41:09 -0400,2010-06-03 01:52:56 -0400,41.01384,28.94966
Tel Aviv,8,2010-05-28 03:41:09 -0400,2010-06-08 04:07:20 -0400,32.08088,34.78057
Ashdod,4,2010-05-28 03:41:09 -0400,2010-06-03 11:17:38 -0400,31.79213,34.64966
Bethlehem,1,2010-05-28 03:41:09 -0400,2010-05-28 03:41:09 -0400,48.18333,10.01667
United Arab Emirates,2,2010-06-02 09:26:05 -0400,2010-06-02 09:26:05 -0400,23.75,54.5
Arab Republic of Egypt,24,2010-06-02 09:26:05 -0400,2010-06-02 09:26:05 -0400,27.0,30.0
Kingdom of Bahrain,1,2010-06-02 09:26:05 -0400,2010-06-02 09:26:05 -0400,26.03333,50.55
Mediterranean Palace,2,2010-06-02 16:57:17 -0400,2010-06-02 16:57:17 -0400,40.6356,22.9353
Middle East,2,2010-06-03 00:32:32 -0400,2010-06-03 00:32:32 -0400,33.13906,35.85869
Syrian Arab Republic,5,2010-06-03 00:32:32 -0400,2010-06-03 00:32:32 -0400,35.0,38.0
Islamic Republic of Iran,7,2010-06-03 00:32:32 -0400,2010-06-08 17:23:54 -0400,32.0,53.0
People’s Democratic Republic of Algeria,1,2010-06-03 00:32:32 -0400,2010-06-03 00:32:32 -0400,28.0,3.0
Tunisian Republic,4,2010-06-03 00:32:32 -0400,2010-06-03 00:32:32 -0400,34.0,9.0
Republic of Ecuador,1,2010-06-03 11:17:38 -0400,2010-06-03 11:17:38 -0400,-1.25,-78.25
Republic of South Africa,1,2010-06-03 11:17:38 -0400,2010-06-03 11:17:38 -0400,-29.0,24.0
Republic of Nicaragua,1,2010-06-03 11:17:38 -0400,2010-06-03 11:17:38 -0400,13.0,-85.0
Federative Republic of Brazil,1,2010-06-03 11:17:38 -0400,2010-06-03 11:17:38 -0400,-10.0,-55.0
São Paulo,2,2010-06-03 11:17:38 -0400,2010-06-03 11:17:38 -0400,-23.62703,-46.63503
Boston,2,2010-06-03 11:17:38 -0400,2010-06-03 11:17:38 -0400,42.35843,-71.05977
New York City,1,2010-06-03 11:17:38 -0400,2010-06-03 11:17:38 -0400,40.71427,-74.00597
London,2,2010-06-03 11:17:38 -0400,2010-06-03 11:17:38 -0400,51.50853,-0.12574
Goza,7,2010-06-03 11:17:38 -0400,2010-06-03 11:17:38 -0400,-11.23333,-42.08333
Santa Sofia,1,2010-06-03 11:17:38 -0400,2010-06-03 11:17:38 -0400,-21.58333,-53.73333
Estado de São Paulo,1,2010-06-03 11:17:38 -0400,2010-06-03 11:17:38 -0400,-22.0,-49.0
Beirut,4,2010-06-03 11:17:38 -0400,2010-06-03 11:17:38 -0400,33.88894,35.49442
San Francisco,1,2010-06-04 04:22:23 -0400,2010-06-04 04:22:23 -0400,37.77493,-122.41942
Marmara,8,2010-06-04 03:45:30 -0400,2010-06-06 16:20:53 -0400,40.58633,27.55541
Kayseri,4,2010-06-04 03:45:30 -0400,2010-06-04 03:45:30 -0400,38.73222,35.48528
Lebanon,6,2010-06-04 04:32:07 -0400,2010-06-04 04:32:07 -0400,33.83333,35.83333
Republic of Iraq,3,2010-06-04 04:32:07 -0400,2010-06-08 04:07:20 -0400,33.0,44.0
Latma,1,2010-06-05 05:19:40 -0400,2010-06-05 05:19:40 -0400,23.37891,82.57809
Lahore,1,2010-06-05 16:20:25 -0400,2010-06-05 16:20:25 -0400,38.19875,-77.96944
Malaysia,1,2010-06-05 16:05:45 -0400,2010-06-05 16:05:45 -0400,2.5,112.5
Cairo,3,2010-06-06 16:49:32 -0400,2010-06-06 16:49:32 -0400,30.06263,31.24967
Alexandria,1,2010-06-06 16:49:32 -0400,2010-06-06 16:49:32 -0400,31.21564,29.95527
Kingdom of Morocco,3,2010-06-06 16:20:53 -0400,2010-06-06 16:20:53 -0400,32.0,-6.0
Jura,1,2010-06-06 16:20:53 -0400,2010-06-06 16:20:53 -0400,47.37266,7.16802
Russian Federation,1,2010-06-06 16:23:30 -0400,2010-06-06 16:23:30 -0400,60.0,100.0
Kingdom of Belgium,1,2010-06-06 16:23:30 -0400,2010-06-06 16:23:30 -0400,50.75,4.5
