cities,count,first_date,last_date,lat,lon
Harbin,1,2005-11-27 23:23:43 -0500,2005-11-27 23:23:43 -0500,45.75,126.65
Xiamen,4,2007-04-07 09:46:45 -0400,2008-05-13 09:03:50 -0400,24.47979,118.08187
Guangzhou,4,2007-06-01 18:28:33 -0400,2009-10-07 04:28:14 -0400,23.11667,113.25
Beijing,16,2007-07-12 18:58:13 -0400,2008-04-29 23:46:53 -0400,39.9075,116.39723
Phoenix,1,2007-07-12 18:58:13 -0400,2007-07-12 18:58:13 -0400,33.44838,-112.07404
Chengdu,1,2008-05-13 09:03:50 -0400,2008-05-13 09:03:50 -0400,30.66667,104.06667
San Francisco,1,2008-05-31 18:35:55 -0400,2008-05-31 18:35:55 -0400,37.77493,-122.41942
Shenzhen,1,2008-05-31 18:35:55 -0400,2008-05-31 18:35:55 -0400,22.54554,114.0683
California,1,2008-03-19 00:24:31 -0400,2008-03-19 00:24:31 -0400,38.3004,-76.50745
Shiqiao,1,2009-10-07 04:28:14 -0400,2009-10-07 04:28:14 -0400,22.9464,113.35769
East Lake,1,2010-04-14 07:51:24 -0400,2010-04-14 07:51:24 -0400,28.11085,-82.69482
Wuhan,1,2010-04-14 07:51:24 -0400,2010-04-14 07:51:24 -0400,30.58333,114.26667
Dalian,1,2011-08-14 00:31:24 -0400,2011-08-14 00:31:24 -0400,38.91222,121.60222
Haimen,1,2011-12-20 03:46:17 -0500,2011-12-20 03:46:17 -0500,23.19346,116.61219
Shantou,1,2011-12-20 03:46:17 -0500,2011-12-20 03:46:17 -0500,23.36814,116.71479
Huilong,2,2012-07-29 10:57:28 -0400,2012-07-29 10:57:28 -0400,31.81111,121.655
Yueyang,1,2012-04-17 01:46:58 -0400,2012-04-17 01:46:58 -0400,29.37455,113.09481
Bayan Hot,1,2012-11-02 21:54:53 -0400,2012-11-02 21:54:53 -0400,38.83861,105.66861
Ningbo,1,2012-10-30 19:32:42 -0400,2012-10-30 19:32:42 -0400,29.87819,121.54945
Changzhi,1,2013-01-06 21:57:03 -0500,2013-01-06 21:57:03 -0500,35.20889,111.73861
Weifang,1,2013-02-18 19:25:25 -0500,2013-02-18 19:25:25 -0500,36.71,119.10194
Shanghai,6,2013-02-27 06:47:29 -0500,2013-02-27 06:47:29 -0500,31.22222,121.45806
Tianjin,1,2013-02-27 06:47:29 -0500,2013-02-27 06:47:29 -0500,39.14222,117.17667
Jiaxing,1,2013-03-12 03:02:46 -0400,2013-03-12 03:02:46 -0400,30.7522,120.75
Tokyo,1,2013-03-19 23:50:18 -0400,2013-03-19 23:50:18 -0400,35.6895,139.69171
Ducheng,1,2013-04-04 21:37:09 -0400,2013-04-04 21:37:09 -0400,23.24212,111.5284
Shenyang,1,2013-04-04 21:37:09 -0400,2013-04-04 21:37:09 -0400,41.79222,123.43278
Fuzhou,1,2013-04-10 21:08:59 -0400,2013-04-10 21:08:59 -0400,26.06139,119.30611
Kunming,2,2013-05-05 20:51:47 -0400,2013-05-05 20:51:47 -0400,25.03889,102.71833
Songjiang,1,2013-05-12 08:05:56 -0400,2013-05-12 08:05:56 -0400,31.03595,121.2146
