organizations,count,first_date,last_date,lat,lon
democrats,1,2010-08-06 09:29:13 -0400,2010-08-06 09:29:13 -0400,,
Ministry of Health,1,2010-08-10 08:06:49 -0400,2010-08-10 08:06:49 -0400,,
Foreign Policy Association,1,2010-08-18 18:56:28 -0400,2010-08-18 18:56:28 -0400,,
Defence Ministry,1,2010-08-18 18:56:28 -0400,2010-08-18 18:56:28 -0400,,
Robert Amsterdam,1,2010-08-18 18:56:28 -0400,2010-08-18 18:56:28 -0400,,
Komsomolskaya Pravda,2,2010-08-18 18:56:28 -0400,2010-08-18 18:56:28 -0400,,
Central Clinical Hospital,1,2010-08-20 17:53:40 -0400,2010-08-20 17:53:40 -0400,,
Echo Moskvy,1,2010-08-29 20:50:39 -0400,2010-08-29 20:50:39 -0400,,
BMW,1,2010-08-29 20:50:39 -0400,2010-08-29 20:50:39 -0400,,
Ministry of Emergency Situations,2,2010-08-29 20:50:39 -0400,2010-08-29 20:50:39 -0400,,
George Washington University,1,2010-08-29 20:50:39 -0400,2010-08-29 20:50:39 -0400,,
New Times,1,2010-09-06 18:54:59 -0400,2010-09-06 18:54:59 -0400,,
Greenpeace,1,2010-09-06 18:54:59 -0400,2010-09-06 18:54:59 -0400,,
Levada Center,2,2010-09-07 23:03:01 -0400,2010-09-07 23:03:01 -0400,,
MSM,2,2010-09-07 23:03:01 -0400,2010-09-07 23:03:01 -0400,,
