places,count,first_date,last_date,lat,lon
Republic of Moldova,1,2010-03-08 04:44:08 -0500,2010-03-08 04:44:08 -0500,47.25,28.58333
Islamic Republic of Iran,2,2010-03-08 04:44:08 -0500,2010-03-08 04:44:08 -0500,32.0,53.0
Republic of Haiti,1,2010-03-08 04:44:08 -0500,2010-03-08 04:44:08 -0500,19.0,-72.41667
Republic of Chile,1,2010-03-08 04:44:08 -0500,2010-03-08 04:44:08 -0500,-30.0,-71.0
People’s Republic of China,1,2010-03-08 04:44:08 -0500,2010-03-08 04:44:08 -0500,35.0,105.0
Repubblica Italiana,1,2010-03-08 04:44:08 -0500,2010-03-08 04:44:08 -0500,42.83333,12.83333
Mumbai,1,2010-03-08 04:44:08 -0500,2010-03-08 04:44:08 -0500,19.07283,72.88261
London,1,2010-03-08 04:44:08 -0500,2010-03-08 04:44:08 -0500,51.50853,-0.12574
La Stampa,1,2010-03-08 04:44:08 -0500,2010-03-08 04:44:08 -0500,53.3404,-6.2585
