organizations,count,first_date,last_date,lat,lon
Facebook of Katreena Bisnar,2,2013-11-10 13:42:42 -0500,2013-11-10 13:42:42 -0500,,
PAF Nomad,1,2013-11-10 13:42:42 -0500,2013-11-10 13:42:42 -0500,,
Caritas Manila Inc.,1,2013-11-10 13:42:42 -0500,2013-11-10 13:42:42 -0500,,
ABS-CBN,1,2013-11-11 12:33:33 -0500,2013-11-11 12:33:33 -0500,,
Facebook,16,2013-11-11 12:33:33 -0500,2013-11-12 13:28:18 -0500,,
Eastern Samar,1,2013-11-11 12:33:33 -0500,2013-11-11 12:33:33 -0500,,
AFP,1,2013-11-11 12:33:33 -0500,2013-11-11 12:33:33 -0500,,
Kashmer Diestro,1,2013-11-11 12:33:33 -0500,2013-11-11 12:33:33 -0500,,
UN,5,2013-11-11 12:33:33 -0500,2013-11-20 17:02:31 -0500,,
University of the Philippines,1,2013-11-12 13:28:18 -0500,2013-11-12 13:28:18 -0500,,
Plan Philippines,1,2013-11-13 18:55:13 -0500,2013-11-13 18:55:13 -0500,,
Facebook of Jeffrey Cruz,1,2013-11-13 18:55:13 -0500,2013-11-13 18:55:13 -0500,,
Western Union,1,2013-11-14 22:26:41 -0500,2013-11-14 22:26:41 -0500,,
National Alliance for Filipino Concerns,1,2013-11-14 22:26:41 -0500,2013-11-14 22:26:41 -0500,,
Google Person Finder,1,2013-11-14 22:26:41 -0500,2013-11-14 22:26:41 -0500,,
Philippine Red Cross,1,2013-11-14 22:26:41 -0500,2013-11-14 22:26:41 -0500,,
Manila Times,1,2013-11-14 22:26:41 -0500,2013-11-14 22:26:41 -0500,,
Central Philippines,1,2013-11-15 11:08:00 -0500,2013-11-15 11:08:00 -0500,,
CNN,15,2013-11-17 04:22:07 -0500,2013-11-17 04:22:07 -0500,,
Gel Santos Relos,1,2013-11-17 04:22:07 -0500,2013-11-17 04:22:07 -0500,,
Interior and Local Government,1,2013-11-17 04:22:07 -0500,2013-11-17 04:22:07 -0500,,
Liberal Party,1,2013-11-17 04:22:07 -0500,2013-11-17 04:22:07 -0500,,
Mabuhay Philippines,1,2013-11-17 04:22:07 -0500,2013-11-17 04:22:07 -0500,,
United Nations,1,2013-11-20 17:02:31 -0500,2013-11-20 17:02:31 -0500,,
Green Party of Aotearoa New Zealand,1,2013-11-20 17:02:31 -0500,2013-11-20 17:02:31 -0500,,
UN Convention,1,2013-11-20 17:02:31 -0500,2013-11-20 17:02:31 -0500,,
Ateneo University,1,2013-11-23 12:05:26 -0500,2013-11-23 12:05:26 -0500,,
Philippines,1,2013-11-23 12:05:26 -0500,2013-11-23 12:05:26 -0500,,
UN Office,1,2013-11-23 12:05:26 -0500,2013-11-23 12:05:26 -0500,,
Coordination of Humanitarian Affairs,1,2013-11-23 12:05:26 -0500,2013-11-23 12:05:26 -0500,,
US Navy,1,2013-12-06 10:36:17 -0500,2013-12-06 10:36:17 -0500,,
Miami Heat,1,2013-12-22 21:17:00 -0500,2013-12-22 21:17:00 -0500,,
UNICEF,1,2013-12-22 21:17:00 -0500,2013-12-22 21:17:00 -0500,,
Seattle Seahawks,2,2013-12-22 21:17:00 -0500,2013-12-22 21:17:00 -0500,,
People Surge,2,2014-02-01 12:31:49 -0500,2014-02-01 12:31:49 -0500,,
Facebook of Elle Freem,1,2014-02-01 12:31:49 -0500,2014-02-01 12:31:49 -0500,,
Red Cross,1,2014-05-11 13:02:17 -0400,2014-05-11 13:02:17 -0400,,
Oxfam,1,2014-05-11 13:02:17 -0400,2014-05-11 13:02:17 -0400,,
UP School of Health Sciences,1,2014-05-11 13:02:17 -0400,2014-05-11 13:02:17 -0400,,
