places,count,first_date,last_date,lat,lon
Earth,1,2010-01-10 23:46:48 -0500,2010-01-10 23:46:48 -0500,0.0,0.0
People’s Republic of China,28,2010-01-10 23:46:48 -0500,2010-12-28 08:58:27 -0500,35.0,105.0
Copenhagen,1,2010-01-10 23:46:48 -0500,2010-01-10 23:46:48 -0500,55.67594,12.56553
Republic of Peru,7,2010-01-27 13:16:28 -0500,2010-12-29 15:23:57 -0500,-10.0,-75.25
Cusco,8,2010-01-27 13:16:28 -0500,2010-12-29 15:23:57 -0500,-13.52264,-71.96734
Pisac,2,2010-01-27 13:16:28 -0500,2010-01-27 13:16:28 -0500,-13.4225,-71.84667
Saylla,1,2010-01-27 13:16:28 -0500,2010-01-27 13:16:28 -0500,-13.553,-71.83176
Apurimac,1,2010-01-27 13:16:28 -0500,2010-01-27 13:16:28 -0500,-14.0,-73.0
El Niño,1,2010-01-27 13:16:28 -0500,2010-01-27 13:16:28 -0500,-16.40061,-71.857
Hellenic Republic,13,2010-02-26 17:00:48 -0500,2010-12-26 06:02:25 -0500,39.0,22.0
Federal Republic of Germany,2,2010-02-26 17:00:48 -0500,2010-12-31 02:27:04 -0500,51.5,10.5
Dimos Kalavryta,1,2010-02-26 17:00:48 -0500,2010-02-26 17:00:48 -0500,37.96073,22.04996
Berlin,1,2010-03-04 22:40:30 -0500,2010-03-04 22:40:30 -0500,52.52437,13.41053
Kingdom of Saudi Arabia,2,2010-05-03 13:03:47 -0400,2010-05-03 13:03:47 -0400,25.0,45.0
Federative Republic of Brazil,22,2010-05-03 13:03:47 -0400,2010-12-14 13:43:55 -0500,-10.0,-55.0
Riyadh,7,2010-05-03 13:03:47 -0400,2010-05-03 13:03:47 -0400,24.68773,46.72185
Rio de Janeiro,1,2010-05-03 13:03:47 -0400,2010-05-03 13:03:47 -0400,-22.90278,-43.2075
Korais,1,2010-05-03 13:03:47 -0400,2010-05-03 13:03:47 -0400,-25.93333,16.51667
Kingdom of Thailand,7,2010-05-18 00:58:07 -0400,2010-05-18 00:58:07 -0400,15.5,101.0
Bangkok,13,2010-05-18 00:58:07 -0400,2010-05-18 00:58:07 -0400,13.75398,100.50144
Ban Wat Sala Daeng,2,2010-05-18 00:58:07 -0400,2010-05-18 00:58:07 -0400,13.75103,100.35133
Mahawitthayalai Ramkhamhaeng,1,2010-05-18 00:58:07 -0400,2010-05-18 00:58:07 -0400,13.75664,100.61769
Republic of India,16,2010-05-22 08:43:34 -0400,2010-12-30 16:44:29 -0500,22.0,79.0
Mangalore,11,2010-05-22 08:43:34 -0400,2010-12-30 16:44:29 -0500,12.91723,74.85603
Dhubai,2,2010-05-22 08:43:34 -0400,2010-12-30 16:44:29 -0500,27.64324,78.28848
State of Karnātaka,1,2010-05-22 08:43:34 -0400,2010-05-22 08:43:34 -0400,13.5,76.0
St Aloysius Oval,1,2010-05-22 08:43:34 -0400,2010-05-22 08:43:34 -0400,-33.7818,151.2012
