organizations,count,first_date,last_date,lat,lon
Navy,5,2008-08-23 13:14:15 -0400,2010-06-03 01:52:56 -0400,,
Israel Committee Against House Demolitions,1,2008-08-23 13:14:15 -0400,2008-08-23 13:14:15 -0400,,
Hamas,24,2008-08-23 13:14:15 -0400,2010-06-02 16:57:17 -0400,,
UNRWA,2,2008-08-23 13:14:15 -0400,2008-08-23 13:14:15 -0400,,
Free Gaza Movement,2,2008-09-05 18:26:26 -0400,2008-09-05 18:26:26 -0400,,
Gaza International Solidarity Movement,1,2008-09-05 18:26:26 -0400,2008-09-05 18:26:26 -0400,,
Erez,1,2008-09-05 18:26:26 -0400,2008-09-05 18:26:26 -0400,,
International Solidarity Movement,7,2008-09-05 18:26:26 -0400,2010-06-06 16:23:30 -0400,,
IDF,22,2010-05-28 03:41:09 -0400,2010-06-02 16:57:17 -0400,,
MFA,1,2010-05-28 03:41:09 -0400,2010-05-28 03:41:09 -0400,,
Foreign Ministry,2,2010-05-28 03:41:09 -0400,2010-06-06 16:49:32 -0400,,
Government Press Office,1,2010-05-28 03:41:09 -0400,2010-05-28 03:41:09 -0400,,
Ministry of Foreign Affairs,3,2010-05-28 03:41:09 -0400,2010-05-28 03:41:09 -0400,,
IHH,1,2010-05-28 03:41:09 -0400,2010-05-28 03:41:09 -0400,,
Defense Forces,1,2010-05-28 03:41:09 -0400,2010-05-28 03:41:09 -0400,,
Intelligence &amp; Terrorism Information Center,1,2010-05-28 03:41:09 -0400,2010-05-28 03:41:09 -0400,,
Muslim Brotherhood,2,2010-05-28 03:41:09 -0400,2010-06-06 16:49:32 -0400,,
Jerusalem Center for Public Affairs,1,2010-05-28 03:41:09 -0400,2010-05-28 03:41:09 -0400,,
FGM,1,2010-05-28 03:41:09 -0400,2010-05-28 03:41:09 -0400,,
NGO,2,2010-05-28 03:41:09 -0400,2010-05-28 03:41:09 -0400,,
United Nations,1,2010-06-02 09:26:05 -0400,2010-06-02 09:26:05 -0400,,
Ban Ki Moon,1,2010-06-02 09:26:05 -0400,2010-06-02 09:26:05 -0400,,
Jordan &amp; d Palestinian Ambassador n Jordan
&amp; MOFA Jordan,1,2010-06-02 09:26:05 -0400,2010-06-02 09:26:05 -0400,,
Facebook,7,2010-06-02 16:57:17 -0400,2010-06-02 16:57:17 -0400,,
Israel Defense Force,1,2010-06-02 16:57:17 -0400,2010-06-02 16:57:17 -0400,,
Gaza Freedom Flotilla,2,2010-06-03 01:52:56 -0400,2010-06-08 17:23:54 -0400,,
Israel Defense Forces,2,2010-06-03 11:17:38 -0400,2010-06-03 11:17:38 -0400,,
Brothers,1,2010-06-04 04:22:23 -0400,2010-06-04 04:22:23 -0400,,
Muslim-American,1,2010-06-04 03:45:30 -0400,2010-06-04 03:45:30 -0400,,
International Waters,1,2010-06-04 04:32:07 -0400,2010-06-04 04:32:07 -0400,,
Arab League,1,2010-06-04 04:32:07 -0400,2010-06-04 04:32:07 -0400,,
Security Council,1,2010-06-04 04:32:07 -0400,2010-06-04 04:32:07 -0400,,
PFLP-GC,1,2010-06-04 04:32:07 -0400,2010-06-04 04:32:07 -0400,,
Jerusalem Post,1,2010-06-05 05:19:40 -0400,2010-06-05 05:19:40 -0400,,
Hezbollah,1,2010-06-05 05:19:40 -0400,2010-06-05 05:19:40 -0400,,
Palestinian Media Watch,1,2010-06-05 05:19:40 -0400,2010-06-05 05:19:40 -0400,,
Latma Press,1,2010-06-05 05:19:40 -0400,2010-06-05 05:19:40 -0400,,
European Union,1,2010-06-05 04:23:54 -0400,2010-06-05 04:23:54 -0400,,
Palestine &amp; Gaza,1,2010-06-05 05:08:56 -0400,2010-06-05 05:08:56 -0400,,
International Law Applicable,1,2010-06-05 16:20:25 -0400,2010-06-05 16:20:25 -0400,,
Embassy,1,2010-06-05 16:20:25 -0400,2010-06-05 16:20:25 -0400,,
UN Security Council,2,2010-06-05 16:20:25 -0400,2010-06-06 16:23:30 -0400,,
UN,2,2010-06-05 16:05:45 -0400,2010-06-06 16:49:32 -0400,,
Efe Moral,1,2010-06-05 16:05:45 -0400,2010-06-05 16:05:45 -0400,,
Rachel Corrie Foundation,1,2010-06-05 16:05:45 -0400,2010-06-05 16:05:45 -0400,,
Al-Ahram Center for Political and Strategic Studies,1,2010-06-06 16:49:32 -0400,2010-06-06 16:49:32 -0400,,
Egypt Daily Digest,1,2010-06-06 16:49:32 -0400,2010-06-06 16:49:32 -0400,,
Citoyen Arabe,1,2010-06-06 16:20:53 -0400,2010-06-06 16:20:53 -0400,,
Courtesy of International Solidarity Movement,1,2010-06-06 16:23:30 -0400,2010-06-06 16:23:30 -0400,,
Cooper Union,3,2010-06-06 16:23:30 -0400,2010-06-06 16:23:30 -0400,,
Democratic Party,1,2010-06-06 16:23:30 -0400,2010-06-06 16:23:30 -0400,,
The American Conservative,1,2010-06-06 16:23:30 -0400,2010-06-06 16:23:30 -0400,,
Bir Zeit University,1,2010-06-06 16:23:30 -0400,2010-06-06 16:23:30 -0400,,
Pixies,4,2010-06-08 04:07:20 -0400,2010-06-08 04:07:20 -0400,,
The Pixies,1,2010-06-08 04:07:20 -0400,2010-06-08 04:07:20 -0400,,
PKK,2,2010-06-08 17:23:54 -0400,2010-06-08 17:23:54 -0400,,
