people,count,first_date,last_date,lat,lon
Taras Demchuk,1,2013-11-21 23:50:14 -0500,2013-11-21 23:50:14 -0500,,
Yana Suporovska,1,2013-11-21 23:50:14 -0500,2013-11-21 23:50:14 -0500,,
Oleksandr Arhat,1,2013-11-21 23:50:14 -0500,2013-11-21 23:50:14 -0500,,
Carl Bildt,2,2013-11-21 23:50:14 -0500,2013-11-21 23:50:14 -0500,,
Dmitri Pavlenko,1,2013-11-21 23:50:14 -0500,2013-11-21 23:50:14 -0500,,
Kraft,1,2013-11-21 23:50:14 -0500,2013-11-21 23:50:14 -0500,,
Oleg Tiagnibok,1,2013-11-25 18:41:57 -0500,2013-11-25 18:41:57 -0500,,
Alexey Trankov,1,2013-11-25 18:41:57 -0500,2013-11-25 18:41:57 -0500,,
Pavel Pryanikov,1,2013-11-25 18:41:57 -0500,2013-11-25 18:41:57 -0500,,
Eduard Limonov,2,2013-11-25 18:41:57 -0500,2014-01-27 13:10:44 -0500,,
Dobrokhotov,3,2013-11-25 18:41:57 -0500,2013-11-25 18:41:57 -0500,,
Arkadiy Babchenko,1,2013-11-25 18:41:57 -0500,2013-11-25 18:41:57 -0500,,
Oleg Kozyrev,3,2013-11-25 18:41:57 -0500,2014-02-25 20:30:17 -0500,,
Dmitry Bavyrin,1,2013-11-25 18:41:57 -0500,2013-11-25 18:41:57 -0500,,
Aleksandr Volodarsky,1,2013-11-25 18:41:57 -0500,2013-11-25 18:41:57 -0500,,
Yanukovich,18,2013-11-25 18:41:57 -0500,2013-12-04 16:23:43 -0500,,
Bogdan Tsap,1,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,,
Ihor Shevchenko,1,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,,
Anastasia Radievska,1,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,,
Ivan Bandura,5,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,,
Taras,1,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,,
Dmytro Kondratenko,2,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,,
Vitalii Vovk,2,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,,
Svoboda,7,2013-11-29 12:47:41 -0500,2014-03-11 01:55:58 -0400,,
Štefan Füle,1,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,,
Viktor Yanukovich,8,2013-11-29 12:47:41 -0500,2014-02-25 20:30:17 -0500,,
Sahsa Chiuchko,1,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,,
Ruslana,2,2013-11-29 12:47:41 -0500,2013-11-30 15:55:07 -0500,,
Yanukovych,5,2013-11-29 12:47:41 -0500,2014-01-26 12:17:38 -0500,,
Olha Snitsarchuk,1,2013-11-29 12:47:41 -0500,2013-11-29 12:47:41 -0500,,
Gleb Garanich,1,2013-11-30 15:55:07 -0500,2013-11-30 15:55:07 -0500,,
Mustafa Nayem,1,2013-11-30 15:55:07 -0500,2013-11-30 15:55:07 -0500,,
Johannes Wamberg Andersen,1,2013-11-30 15:55:07 -0500,2013-11-30 15:55:07 -0500,,
Andriy Shevchenko,4,2013-11-30 15:55:07 -0500,2013-11-30 15:55:07 -0500,,
Vitaliy Moroz,2,2013-11-30 15:55:07 -0500,2013-11-30 15:55:07 -0500,,
Vitalii Moroz,1,2013-11-30 15:55:07 -0500,2013-11-30 15:55:07 -0500,,
Hovens Greve,1,2013-11-30 15:55:07 -0500,2013-11-30 15:55:07 -0500,,
Yatsenyuk,2,2013-11-30 15:55:07 -0500,2013-11-30 15:55:07 -0500,,
Sasha Burlaka,1,2013-12-02 03:10:56 -0500,2013-12-02 03:10:56 -0500,,
Maksym Savanevsky,5,2013-12-02 03:10:56 -0500,2013-12-02 03:10:56 -0500,,
Sashko Polozhynsky,1,2013-12-02 03:10:56 -0500,2013-12-02 03:10:56 -0500,,
Oleksandr Solontai,1,2013-12-02 03:10:56 -0500,2013-12-02 03:10:56 -0500,,
